"GEO_ID","NAME","B19101A_001E","B19101A_001M","B19101A_002E","B19101A_002M","B19101A_003E","B19101A_003M","B19101A_004E","B19101A_004M","B19101A_005E","B19101A_005M","B19101A_006E","B19101A_006M","B19101A_007E","B19101A_007M","B19101A_008E","B19101A_008M","B19101A_009E","B19101A_009M","B19101A_010E","B19101A_010M","B19101A_011E","B19101A_011M","B19101A_012E","B19101A_012M","B19101A_013E","B19101A_013M","B19101A_014E","B19101A_014M","B19101A_015E","B19101A_015M","B19101A_016E","B19101A_016M","B19101A_017E","B19101A_017M",
"Geography","Geographic Area Name","Estimate!!Total","Margin of Error!!Total","Estimate!!Total!!Less than $10,000","Margin of Error!!Total!!Less than $10,000","Estimate!!Total!!$10,000 to $14,999","Margin of Error!!Total!!$10,000 to $14,999","Estimate!!Total!!$15,000 to $19,999","Margin of Error!!Total!!$15,000 to $19,999","Estimate!!Total!!$20,000 to $24,999","Margin of Error!!Total!!$20,000 to $24,999","Estimate!!Total!!$25,000 to $29,999","Margin of Error!!Total!!$25,000 to $29,999","Estimate!!Total!!$30,000 to $34,999","Margin of Error!!Total!!$30,000 to $34,999","Estimate!!Total!!$35,000 to $39,999","Margin of Error!!Total!!$35,000 to $39,999","Estimate!!Total!!$40,000 to $44,999","Margin of Error!!Total!!$40,000 to $44,999","Estimate!!Total!!$45,000 to $49,999","Margin of Error!!Total!!$45,000 to $49,999","Estimate!!Total!!$50,000 to $59,999","Margin of Error!!Total!!$50,000 to $59,999","Estimate!!Total!!$60,000 to $74,999","Margin of Error!!Total!!$60,000 to $74,999","Estimate!!Total!!$75,000 to $99,999","Margin of Error!!Total!!$75,000 to $99,999","Estimate!!Total!!$100,000 to $124,999","Margin of Error!!Total!!$100,000 to $124,999","Estimate!!Total!!$125,000 to $149,999","Margin of Error!!Total!!$125,000 to $149,999","Estimate!!Total!!$150,000 to $199,999","Margin of Error!!Total!!$150,000 to $199,999","Estimate!!Total!!$200,000 or more","Margin of Error!!Total!!$200,000 or more",
"0100000US","United States","59991642","170269","1938879","12341","1355699","8607","1631461","11337","1989946","11359","2155607","10517","2356052","10203","2350593","10135","2452001","11917","2307053","11352","4671088","15147","6527280","25617","8939181","42814","6715230","41684","4406728","32069","4833004","34010","5361840","36441",
