"GEO_ID","NAME","B19101C_001E","B19101C_001M","B19101C_002E","B19101C_002M","B19101C_003E","B19101C_003M","B19101C_004E","B19101C_004M","B19101C_005E","B19101C_005M","B19101C_006E","B19101C_006M","B19101C_007E","B19101C_007M","B19101C_008E","B19101C_008M","B19101C_009E","B19101C_009M","B19101C_010E","B19101C_010M","B19101C_011E","B19101C_011M","B19101C_012E","B19101C_012M","B19101C_013E","B19101C_013M","B19101C_014E","B19101C_014M","B19101C_015E","B19101C_015M","B19101C_016E","B19101C_016M","B19101C_017E","B19101C_017M",
"Geography","Geographic Area Name","Estimate!!Total","Margin of Error!!Total","Estimate!!Total!!Less than $10,000","Margin of Error!!Total!!Less than $10,000","Estimate!!Total!!$10,000 to $14,999","Margin of Error!!Total!!$10,000 to $14,999","Estimate!!Total!!$15,000 to $19,999","Margin of Error!!Total!!$15,000 to $19,999","Estimate!!Total!!$20,000 to $24,999","Margin of Error!!Total!!$20,000 to $24,999","Estimate!!Total!!$25,000 to $29,999","Margin of Error!!Total!!$25,000 to $29,999","Estimate!!Total!!$30,000 to $34,999","Margin of Error!!Total!!$30,000 to $34,999","Estimate!!Total!!$35,000 to $39,999","Margin of Error!!Total!!$35,000 to $39,999","Estimate!!Total!!$40,000 to $44,999","Margin of Error!!Total!!$40,000 to $44,999","Estimate!!Total!!$45,000 to $49,999","Margin of Error!!Total!!$45,000 to $49,999","Estimate!!Total!!$50,000 to $59,999","Margin of Error!!Total!!$50,000 to $59,999","Estimate!!Total!!$60,000 to $74,999","Margin of Error!!Total!!$60,000 to $74,999","Estimate!!Total!!$75,000 to $99,999","Margin of Error!!Total!!$75,000 to $99,999","Estimate!!Total!!$100,000 to $124,999","Margin of Error!!Total!!$100,000 to $124,999","Estimate!!Total!!$125,000 to $149,999","Margin of Error!!Total!!$125,000 to $149,999","Estimate!!Total!!$150,000 to $199,999","Margin of Error!!Total!!$150,000 to $199,999","Estimate!!Total!!$200,000 or more","Margin of Error!!Total!!$200,000 or more",
"0100000US","United States","552887","11453","52217","3094","29933","2285","33373","2416","36946","3042","28621","2643","32464","2271","31405","3110","26356","2428","23848","1981","46641","3234","54583","3458","61799","3593","36616","2834","25143","2486","19674","1837","13268","1501",
