"GEO_ID","NAME","B19101C_001E","B19101C_001M","B19101C_002E","B19101C_002M","B19101C_003E","B19101C_003M","B19101C_004E","B19101C_004M","B19101C_005E","B19101C_005M","B19101C_006E","B19101C_006M","B19101C_007E","B19101C_007M","B19101C_008E","B19101C_008M","B19101C_009E","B19101C_009M","B19101C_010E","B19101C_010M","B19101C_011E","B19101C_011M","B19101C_012E","B19101C_012M","B19101C_013E","B19101C_013M","B19101C_014E","B19101C_014M","B19101C_015E","B19101C_015M","B19101C_016E","B19101C_016M","B19101C_017E","B19101C_017M",
"Geography","Geographic Area Name","Estimate!!Total","Margin of Error!!Total","Estimate!!Total!!Less than $10,000","Margin of Error!!Total!!Less than $10,000","Estimate!!Total!!$10,000 to $14,999","Margin of Error!!Total!!$10,000 to $14,999","Estimate!!Total!!$15,000 to $19,999","Margin of Error!!Total!!$15,000 to $19,999","Estimate!!Total!!$20,000 to $24,999","Margin of Error!!Total!!$20,000 to $24,999","Estimate!!Total!!$25,000 to $29,999","Margin of Error!!Total!!$25,000 to $29,999","Estimate!!Total!!$30,000 to $34,999","Margin of Error!!Total!!$30,000 to $34,999","Estimate!!Total!!$35,000 to $39,999","Margin of Error!!Total!!$35,000 to $39,999","Estimate!!Total!!$40,000 to $44,999","Margin of Error!!Total!!$40,000 to $44,999","Estimate!!Total!!$45,000 to $49,999","Margin of Error!!Total!!$45,000 to $49,999","Estimate!!Total!!$50,000 to $59,999","Margin of Error!!Total!!$50,000 to $59,999","Estimate!!Total!!$60,000 to $74,999","Margin of Error!!Total!!$60,000 to $74,999","Estimate!!Total!!$75,000 to $99,999","Margin of Error!!Total!!$75,000 to $99,999","Estimate!!Total!!$100,000 to $124,999","Margin of Error!!Total!!$100,000 to $124,999","Estimate!!Total!!$125,000 to $149,999","Margin of Error!!Total!!$125,000 to $149,999","Estimate!!Total!!$150,000 to $199,999","Margin of Error!!Total!!$150,000 to $199,999","Estimate!!Total!!$200,000 or more","Margin of Error!!Total!!$200,000 or more",
"0100000US","United States","558024","5279","59057","1256","34045","1072","34994","1358","35981","1158","36306","1055","32512","1228","30040","985","27843","1054","26722","1077","44835","1446","53667","1456","61417","1736","35106","1077","18918","781","16167","724","10414","596",
