"GEO_ID","NAME","B19101H_001E","B19101H_001M","B19101H_002E","B19101H_002M","B19101H_003E","B19101H_003M","B19101H_004E","B19101H_004M","B19101H_005E","B19101H_005M","B19101H_006E","B19101H_006M","B19101H_007E","B19101H_007M","B19101H_008E","B19101H_008M","B19101H_009E","B19101H_009M","B19101H_010E","B19101H_010M","B19101H_011E","B19101H_011M","B19101H_012E","B19101H_012M","B19101H_013E","B19101H_013M","B19101H_014E","B19101H_014M","B19101H_015E","B19101H_015M","B19101H_016E","B19101H_016M","B19101H_017E","B19101H_017M",
"Geography","Geographic Area Name","Estimate!!Total:","Margin of Error!!Total:","Estimate!!Total:!!Less than $10,000","Margin of Error!!Total:!!Less than $10,000","Estimate!!Total:!!$10,000 to $14,999","Margin of Error!!Total:!!$10,000 to $14,999","Estimate!!Total:!!$15,000 to $19,999","Margin of Error!!Total:!!$15,000 to $19,999","Estimate!!Total:!!$20,000 to $24,999","Margin of Error!!Total:!!$20,000 to $24,999","Estimate!!Total:!!$25,000 to $29,999","Margin of Error!!Total:!!$25,000 to $29,999","Estimate!!Total:!!$30,000 to $34,999","Margin of Error!!Total:!!$30,000 to $34,999","Estimate!!Total:!!$35,000 to $39,999","Margin of Error!!Total:!!$35,000 to $39,999","Estimate!!Total:!!$40,000 to $44,999","Margin of Error!!Total:!!$40,000 to $44,999","Estimate!!Total:!!$45,000 to $49,999","Margin of Error!!Total:!!$45,000 to $49,999","Estimate!!Total:!!$50,000 to $59,999","Margin of Error!!Total:!!$50,000 to $59,999","Estimate!!Total:!!$60,000 to $74,999","Margin of Error!!Total:!!$60,000 to $74,999","Estimate!!Total:!!$75,000 to $99,999","Margin of Error!!Total:!!$75,000 to $99,999","Estimate!!Total:!!$100,000 to $124,999","Margin of Error!!Total:!!$100,000 to $124,999","Estimate!!Total:!!$125,000 to $149,999","Margin of Error!!Total:!!$125,000 to $149,999","Estimate!!Total:!!$150,000 to $199,999","Margin of Error!!Total:!!$150,000 to $199,999","Estimate!!Total:!!$200,000 or more","Margin of Error!!Total:!!$200,000 or more",
"0100000US","United States","51955245","90626","1201480","19722","687151","15253","751599","17366","971127","17672","1041650","18125","1267369","18805","1296852","16682","1476639","20130","1441117","17097","3104417","27513","4727068","37328","7419463","45520","6432093","42663","4881099","38023","6357601","46169","8898520","49642",
