"GEO_ID","NAME","B19101H_001E","B19101H_001M","B19101H_002E","B19101H_002M","B19101H_003E","B19101H_003M","B19101H_004E","B19101H_004M","B19101H_005E","B19101H_005M","B19101H_006E","B19101H_006M","B19101H_007E","B19101H_007M","B19101H_008E","B19101H_008M","B19101H_009E","B19101H_009M","B19101H_010E","B19101H_010M","B19101H_011E","B19101H_011M","B19101H_012E","B19101H_012M","B19101H_013E","B19101H_013M","B19101H_014E","B19101H_014M","B19101H_015E","B19101H_015M","B19101H_016E","B19101H_016M","B19101H_017E","B19101H_017M",
"Geography","Geographic Area Name","Estimate!!Total:","Margin of Error!!Total:","Estimate!!Total:!!Less than $10,000","Margin of Error!!Total:!!Less than $10,000","Estimate!!Total:!!$10,000 to $14,999","Margin of Error!!Total:!!$10,000 to $14,999","Estimate!!Total:!!$15,000 to $19,999","Margin of Error!!Total:!!$15,000 to $19,999","Estimate!!Total:!!$20,000 to $24,999","Margin of Error!!Total:!!$20,000 to $24,999","Estimate!!Total:!!$25,000 to $29,999","Margin of Error!!Total:!!$25,000 to $29,999","Estimate!!Total:!!$30,000 to $34,999","Margin of Error!!Total:!!$30,000 to $34,999","Estimate!!Total:!!$35,000 to $39,999","Margin of Error!!Total:!!$35,000 to $39,999","Estimate!!Total:!!$40,000 to $44,999","Margin of Error!!Total:!!$40,000 to $44,999","Estimate!!Total:!!$45,000 to $49,999","Margin of Error!!Total:!!$45,000 to $49,999","Estimate!!Total:!!$50,000 to $59,999","Margin of Error!!Total:!!$50,000 to $59,999","Estimate!!Total:!!$60,000 to $74,999","Margin of Error!!Total:!!$60,000 to $74,999","Estimate!!Total:!!$75,000 to $99,999","Margin of Error!!Total:!!$75,000 to $99,999","Estimate!!Total:!!$100,000 to $124,999","Margin of Error!!Total:!!$100,000 to $124,999","Estimate!!Total:!!$125,000 to $149,999","Margin of Error!!Total:!!$125,000 to $149,999","Estimate!!Total:!!$150,000 to $199,999","Margin of Error!!Total:!!$150,000 to $199,999","Estimate!!Total:!!$200,000 or more","Margin of Error!!Total:!!$200,000 or more",
"0100000US","United States","51913554","88601","1178652","18437","754494","14704","937398","17976","1203793","18869","1335340","22624","1563138","20665","1595461","22871","1735905","20408","1696320","21447","3548312","28999","5320710","37109","7891919","52857","6455922","42131","4551013","33536","5426796","36552","6718381","39946",
