"GEO_ID","NAME","B19101A_001E","B19101A_001M","B19101A_002E","B19101A_002M","B19101A_003E","B19101A_003M","B19101A_004E","B19101A_004M","B19101A_005E","B19101A_005M","B19101A_006E","B19101A_006M","B19101A_007E","B19101A_007M","B19101A_008E","B19101A_008M","B19101A_009E","B19101A_009M","B19101A_010E","B19101A_010M","B19101A_011E","B19101A_011M","B19101A_012E","B19101A_012M","B19101A_013E","B19101A_013M","B19101A_014E","B19101A_014M","B19101A_015E","B19101A_015M","B19101A_016E","B19101A_016M","B19101A_017E","B19101A_017M",
"Geography","Geographic Area Name","Estimate!!Total","Margin of Error!!Total","Estimate!!Total!!Less than $10,000","Margin of Error!!Total!!Less than $10,000","Estimate!!Total!!$10,000 to $14,999","Margin of Error!!Total!!$10,000 to $14,999","Estimate!!Total!!$15,000 to $19,999","Margin of Error!!Total!!$15,000 to $19,999","Estimate!!Total!!$20,000 to $24,999","Margin of Error!!Total!!$20,000 to $24,999","Estimate!!Total!!$25,000 to $29,999","Margin of Error!!Total!!$25,000 to $29,999","Estimate!!Total!!$30,000 to $34,999","Margin of Error!!Total!!$30,000 to $34,999","Estimate!!Total!!$35,000 to $39,999","Margin of Error!!Total!!$35,000 to $39,999","Estimate!!Total!!$40,000 to $44,999","Margin of Error!!Total!!$40,000 to $44,999","Estimate!!Total!!$45,000 to $49,999","Margin of Error!!Total!!$45,000 to $49,999","Estimate!!Total!!$50,000 to $59,999","Margin of Error!!Total!!$50,000 to $59,999","Estimate!!Total!!$60,000 to $74,999","Margin of Error!!Total!!$60,000 to $74,999","Estimate!!Total!!$75,000 to $99,999","Margin of Error!!Total!!$75,000 to $99,999","Estimate!!Total!!$100,000 to $124,999","Margin of Error!!Total!!$100,000 to $124,999","Estimate!!Total!!$125,000 to $149,999","Margin of Error!!Total!!$125,000 to $149,999","Estimate!!Total!!$150,000 to $199,999","Margin of Error!!Total!!$150,000 to $199,999","Estimate!!Total!!$200,000 or more","Margin of Error!!Total!!$200,000 or more",
"0100000US","United States","59535040","161647","2105317","12815","1498318","9479","1835564","10571","2211636","10055","2343920","11302","2546686","11897","2476071","10150","2576229","9750","2426026","9537","4836277","16574","6636070","26070","8886367","45390","6399274","42897","4030552","28116","4252028","28469","4474705","30307",
