"GEO_ID","NAME","B19101I_001E","B19101I_001M","B19101I_002E","B19101I_002M","B19101I_003E","B19101I_003M","B19101I_004E","B19101I_004M","B19101I_005E","B19101I_005M","B19101I_006E","B19101I_006M","B19101I_007E","B19101I_007M","B19101I_008E","B19101I_008M","B19101I_009E","B19101I_009M","B19101I_010E","B19101I_010M","B19101I_011E","B19101I_011M","B19101I_012E","B19101I_012M","B19101I_013E","B19101I_013M","B19101I_014E","B19101I_014M","B19101I_015E","B19101I_015M","B19101I_016E","B19101I_016M","B19101I_017E","B19101I_017M",
"Geography","Geographic Area Name","Estimate!!Total:","Margin of Error!!Total:","Estimate!!Total:!!Less than $10,000","Margin of Error!!Total:!!Less than $10,000","Estimate!!Total:!!$10,000 to $14,999","Margin of Error!!Total:!!$10,000 to $14,999","Estimate!!Total:!!$15,000 to $19,999","Margin of Error!!Total:!!$15,000 to $19,999","Estimate!!Total:!!$20,000 to $24,999","Margin of Error!!Total:!!$20,000 to $24,999","Estimate!!Total:!!$25,000 to $29,999","Margin of Error!!Total:!!$25,000 to $29,999","Estimate!!Total:!!$30,000 to $34,999","Margin of Error!!Total:!!$30,000 to $34,999","Estimate!!Total:!!$35,000 to $39,999","Margin of Error!!Total:!!$35,000 to $39,999","Estimate!!Total:!!$40,000 to $44,999","Margin of Error!!Total:!!$40,000 to $44,999","Estimate!!Total:!!$45,000 to $49,999","Margin of Error!!Total:!!$45,000 to $49,999","Estimate!!Total:!!$50,000 to $59,999","Margin of Error!!Total:!!$50,000 to $59,999","Estimate!!Total:!!$60,000 to $74,999","Margin of Error!!Total:!!$60,000 to $74,999","Estimate!!Total:!!$75,000 to $99,999","Margin of Error!!Total:!!$75,000 to $99,999","Estimate!!Total:!!$100,000 to $124,999","Margin of Error!!Total:!!$100,000 to $124,999","Estimate!!Total:!!$125,000 to $149,999","Margin of Error!!Total:!!$125,000 to $149,999","Estimate!!Total:!!$150,000 to $199,999","Margin of Error!!Total:!!$150,000 to $199,999","Estimate!!Total:!!$200,000 or more","Margin of Error!!Total:!!$200,000 or more",
"0100000US","United States","12056862","36432","657506","7171","441697","5708","576655","5803","662906","7334","657329","6891","699986","6220","627919","7008","616327","6667","559708","6218","1047598","8451","1287262","9371","1544621","11741","996626","10354","594450","8566","594105","9544","492167","9247",
