"GEO_ID","NAME","B19101B_001E","B19101B_001M","B19101B_002E","B19101B_002M","B19101B_003E","B19101B_003M","B19101B_004E","B19101B_004M","B19101B_005E","B19101B_005M","B19101B_006E","B19101B_006M","B19101B_007E","B19101B_007M","B19101B_008E","B19101B_008M","B19101B_009E","B19101B_009M","B19101B_010E","B19101B_010M","B19101B_011E","B19101B_011M","B19101B_012E","B19101B_012M","B19101B_013E","B19101B_013M","B19101B_014E","B19101B_014M","B19101B_015E","B19101B_015M","B19101B_016E","B19101B_016M","B19101B_017E","B19101B_017M",
"Geography","Geographic Area Name","Estimate!!Total:","Margin of Error!!Total:","Estimate!!Total:!!Less than $10,000","Margin of Error!!Total:!!Less than $10,000","Estimate!!Total:!!$10,000 to $14,999","Margin of Error!!Total:!!$10,000 to $14,999","Estimate!!Total:!!$15,000 to $19,999","Margin of Error!!Total:!!$15,000 to $19,999","Estimate!!Total:!!$20,000 to $24,999","Margin of Error!!Total:!!$20,000 to $24,999","Estimate!!Total:!!$25,000 to $29,999","Margin of Error!!Total:!!$25,000 to $29,999","Estimate!!Total:!!$30,000 to $34,999","Margin of Error!!Total:!!$30,000 to $34,999","Estimate!!Total:!!$35,000 to $39,999","Margin of Error!!Total:!!$35,000 to $39,999","Estimate!!Total:!!$40,000 to $44,999","Margin of Error!!Total:!!$40,000 to $44,999","Estimate!!Total:!!$45,000 to $49,999","Margin of Error!!Total:!!$45,000 to $49,999","Estimate!!Total:!!$50,000 to $59,999","Margin of Error!!Total:!!$50,000 to $59,999","Estimate!!Total:!!$60,000 to $74,999","Margin of Error!!Total:!!$60,000 to $74,999","Estimate!!Total:!!$75,000 to $99,999","Margin of Error!!Total:!!$75,000 to $99,999","Estimate!!Total:!!$100,000 to $124,999","Margin of Error!!Total:!!$100,000 to $124,999","Estimate!!Total:!!$125,000 to $149,999","Margin of Error!!Total:!!$125,000 to $149,999","Estimate!!Total:!!$150,000 to $199,999","Margin of Error!!Total:!!$150,000 to $199,999","Estimate!!Total:!!$200,000 or more","Margin of Error!!Total:!!$200,000 or more",
"0100000US","United States","9085429","38581","656109","13500","385254","12223","418640","15212","477987","12767","479284","12750","496454","15090","434272","14918","432337","13205","389817","14090","711321","14925","955724","17529","1128589","19267","756795","17053","480395","12662","489002","14675","393449","13184",
