"GEO_ID","NAME","B19101D_001E","B19101D_001M","B19101D_002E","B19101D_002M","B19101D_003E","B19101D_003M","B19101D_004E","B19101D_004M","B19101D_005E","B19101D_005M","B19101D_006E","B19101D_006M","B19101D_007E","B19101D_007M","B19101D_008E","B19101D_008M","B19101D_009E","B19101D_009M","B19101D_010E","B19101D_010M","B19101D_011E","B19101D_011M","B19101D_012E","B19101D_012M","B19101D_013E","B19101D_013M","B19101D_014E","B19101D_014M","B19101D_015E","B19101D_015M","B19101D_016E","B19101D_016M","B19101D_017E","B19101D_017M",
"Geography","Geographic Area Name","Estimate!!Total:","Margin of Error!!Total:","Estimate!!Total:!!Less than $10,000","Margin of Error!!Total:!!Less than $10,000","Estimate!!Total:!!$10,000 to $14,999","Margin of Error!!Total:!!$10,000 to $14,999","Estimate!!Total:!!$15,000 to $19,999","Margin of Error!!Total:!!$15,000 to $19,999","Estimate!!Total:!!$20,000 to $24,999","Margin of Error!!Total:!!$20,000 to $24,999","Estimate!!Total:!!$25,000 to $29,999","Margin of Error!!Total:!!$25,000 to $29,999","Estimate!!Total:!!$30,000 to $34,999","Margin of Error!!Total:!!$30,000 to $34,999","Estimate!!Total:!!$35,000 to $39,999","Margin of Error!!Total:!!$35,000 to $39,999","Estimate!!Total:!!$40,000 to $44,999","Margin of Error!!Total:!!$40,000 to $44,999","Estimate!!Total:!!$45,000 to $49,999","Margin of Error!!Total:!!$45,000 to $49,999","Estimate!!Total:!!$50,000 to $59,999","Margin of Error!!Total:!!$50,000 to $59,999","Estimate!!Total:!!$60,000 to $74,999","Margin of Error!!Total:!!$60,000 to $74,999","Estimate!!Total:!!$75,000 to $99,999","Margin of Error!!Total:!!$75,000 to $99,999","Estimate!!Total:!!$100,000 to $124,999","Margin of Error!!Total:!!$100,000 to $124,999","Estimate!!Total:!!$125,000 to $149,999","Margin of Error!!Total:!!$125,000 to $149,999","Estimate!!Total:!!$150,000 to $199,999","Margin of Error!!Total:!!$150,000 to $199,999","Estimate!!Total:!!$200,000 or more","Margin of Error!!Total:!!$200,000 or more",
"0100000US","United States","4910726","24581","133715","6612","67858","4839","83101","5416","102656","6013","88914","5077","105237","6363","101328","5511","106401","6186","104953","5418","223712","7732","319974","8489","527163","12909","503799","13650","412780","11558","651939","13620","1377196","16893",
