"GEO_ID","NAME","B19101G_001E","B19101G_001M","B19101G_002E","B19101G_002M","B19101G_003E","B19101G_003M","B19101G_004E","B19101G_004M","B19101G_005E","B19101G_005M","B19101G_006E","B19101G_006M","B19101G_007E","B19101G_007M","B19101G_008E","B19101G_008M","B19101G_009E","B19101G_009M","B19101G_010E","B19101G_010M","B19101G_011E","B19101G_011M","B19101G_012E","B19101G_012M","B19101G_013E","B19101G_013M","B19101G_014E","B19101G_014M","B19101G_015E","B19101G_015M","B19101G_016E","B19101G_016M","B19101G_017E","B19101G_017M",
"Geography","Geographic Area Name","Estimate!!Total","Margin of Error!!Total","Estimate!!Total!!Less than $10,000","Margin of Error!!Total!!Less than $10,000","Estimate!!Total!!$10,000 to $14,999","Margin of Error!!Total!!$10,000 to $14,999","Estimate!!Total!!$15,000 to $19,999","Margin of Error!!Total!!$15,000 to $19,999","Estimate!!Total!!$20,000 to $24,999","Margin of Error!!Total!!$20,000 to $24,999","Estimate!!Total!!$25,000 to $29,999","Margin of Error!!Total!!$25,000 to $29,999","Estimate!!Total!!$30,000 to $34,999","Margin of Error!!Total!!$30,000 to $34,999","Estimate!!Total!!$35,000 to $39,999","Margin of Error!!Total!!$35,000 to $39,999","Estimate!!Total!!$40,000 to $44,999","Margin of Error!!Total!!$40,000 to $44,999","Estimate!!Total!!$45,000 to $49,999","Margin of Error!!Total!!$45,000 to $49,999","Estimate!!Total!!$50,000 to $59,999","Margin of Error!!Total!!$50,000 to $59,999","Estimate!!Total!!$60,000 to $74,999","Margin of Error!!Total!!$60,000 to $74,999","Estimate!!Total!!$75,000 to $99,999","Margin of Error!!Total!!$75,000 to $99,999","Estimate!!Total!!$100,000 to $124,999","Margin of Error!!Total!!$100,000 to $124,999","Estimate!!Total!!$125,000 to $149,999","Margin of Error!!Total!!$125,000 to $149,999","Estimate!!Total!!$150,000 to $199,999","Margin of Error!!Total!!$150,000 to $199,999","Estimate!!Total!!$200,000 or more","Margin of Error!!Total!!$200,000 or more",
"0100000US","United States","1165218","17773","81270","1976","53564","1897","57557","2035","60213","2144","59521","1847","59343","1749","56434","1850","54835","1754","50756","1747","96152","2362","122290","3094","156627","3642","98038","2712","55785","1867","55944","1851","46889","1708",
