"GEO_ID","NAME","B19101E_001E","B19101E_001M","B19101E_002E","B19101E_002M","B19101E_003E","B19101E_003M","B19101E_004E","B19101E_004M","B19101E_005E","B19101E_005M","B19101E_006E","B19101E_006M","B19101E_007E","B19101E_007M","B19101E_008E","B19101E_008M","B19101E_009E","B19101E_009M","B19101E_010E","B19101E_010M","B19101E_011E","B19101E_011M","B19101E_012E","B19101E_012M","B19101E_013E","B19101E_013M","B19101E_014E","B19101E_014M","B19101E_015E","B19101E_015M","B19101E_016E","B19101E_016M","B19101E_017E","B19101E_017M",
"Geography","Geographic Area Name","Estimate!!Total:","Margin of Error!!Total:","Estimate!!Total:!!Less than $10,000","Margin of Error!!Total:!!Less than $10,000","Estimate!!Total:!!$10,000 to $14,999","Margin of Error!!Total:!!$10,000 to $14,999","Estimate!!Total:!!$15,000 to $19,999","Margin of Error!!Total:!!$15,000 to $19,999","Estimate!!Total:!!$20,000 to $24,999","Margin of Error!!Total:!!$20,000 to $24,999","Estimate!!Total:!!$25,000 to $29,999","Margin of Error!!Total:!!$25,000 to $29,999","Estimate!!Total:!!$30,000 to $34,999","Margin of Error!!Total:!!$30,000 to $34,999","Estimate!!Total:!!$35,000 to $39,999","Margin of Error!!Total:!!$35,000 to $39,999","Estimate!!Total:!!$40,000 to $44,999","Margin of Error!!Total:!!$40,000 to $44,999","Estimate!!Total:!!$45,000 to $49,999","Margin of Error!!Total:!!$45,000 to $49,999","Estimate!!Total:!!$50,000 to $59,999","Margin of Error!!Total:!!$50,000 to $59,999","Estimate!!Total:!!$60,000 to $74,999","Margin of Error!!Total:!!$60,000 to $74,999","Estimate!!Total:!!$75,000 to $99,999","Margin of Error!!Total:!!$75,000 to $99,999","Estimate!!Total:!!$100,000 to $124,999","Margin of Error!!Total:!!$100,000 to $124,999","Estimate!!Total:!!$125,000 to $149,999","Margin of Error!!Total:!!$125,000 to $149,999","Estimate!!Total:!!$150,000 to $199,999","Margin of Error!!Total:!!$150,000 to $199,999","Estimate!!Total:!!$200,000 or more","Margin of Error!!Total:!!$200,000 or more",
"0100000US","United States","140635","6419","6085","1373","2917","1144","2289","748","4075","1273","5098","1321","5971","1433","4795","1494","6072","1243","3830","1003","10051","1813","13859","2355","18101","2179","16296","2596","12612","2373","13078","2011","15506","2195",
