"GEO_ID","NAME","S2001_C01_001E","S2001_C01_001M","S2001_C02_001E","S2001_C02_001M","S2001_C03_001E","S2001_C03_001M","S2001_C03_002E","S2001_C03_002M","S2001_C02_002M","S2001_C02_002E","S2001_C01_002M","S2001_C01_002E","S2001_C01_003E","S2001_C01_003M","S2001_C02_003E","S2001_C02_003M","S2001_C03_003E","S2001_C03_003M","S2001_C01_004E","S2001_C01_004M","S2001_C02_004E","S2001_C02_004M","S2001_C03_004E","S2001_C03_004M","S2001_C03_005E","S2001_C03_005M","S2001_C02_005M","S2001_C02_005E","S2001_C01_005M","S2001_C01_005E","S2001_C01_006M","S2001_C01_006E","S2001_C02_006E","S2001_C02_006M","S2001_C03_006E","S2001_C03_006M","S2001_C01_007E","S2001_C01_007M","S2001_C02_007E","S2001_C02_007M","S2001_C03_007E","S2001_C03_007M","S2001_C01_008M","S2001_C01_008E","S2001_C02_008E","S2001_C02_008M","S2001_C03_008M","S2001_C03_008E","S2001_C01_009E","S2001_C01_009M","S2001_C02_009E","S2001_C02_009M","S2001_C03_009E","S2001_C03_009M","S2001_C01_010E","S2001_C01_010M","S2001_C03_010E","S2001_C03_010M","S2001_C02_010M","S2001_C02_010E","S2001_C01_011E","S2001_C01_011M","S2001_C02_011E","S2001_C02_011M","S2001_C03_011E","S2001_C03_011M","S2001_C03_012E","S2001_C03_012M","S2001_C02_012M","S2001_C02_012E","S2001_C01_012M","S2001_C01_012E","S2001_C01_013E","S2001_C01_013M","S2001_C02_013E","S2001_C02_013M","S2001_C03_013E","S2001_C03_013M","S2001_C01_014E","S2001_C01_014M","S2001_C03_014M","S2001_C03_014E","S2001_C02_014M","S2001_C02_014E","S2001_C03_015E","S2001_C03_015M","S2001_C02_015M","S2001_C02_015E","S2001_C01_015M","S2001_C01_015E","S2001_C03_016E","S2001_C03_016M","S2001_C02_016M","S2001_C02_016E","S2001_C01_016M","S2001_C01_016E","S2001_C02_017E","S2001_C02_017M","S2001_C01_017M","S2001_C01_017E","S2001_C03_017E","S2001_C03_017M","S2001_C01_018E","S2001_C01_018M","S2001_C02_018E","S2001_C02_018M","S2001_C03_018E","S2001_C03_018M","S2001_C02_019E","S2001_C02_019M","S2001_C01_019M","S2001_C01_019E","S2001_C03_019M","S2001_C03_019E","S2001_C01_020E","S2001_C01_020M","S2001_C02_020E","S2001_C02_020M","S2001_C03_020E","S2001_C03_020M","S2001_C01_021E","S2001_C01_021M","S2001_C02_021E","S2001_C02_021M","S2001_C03_021E","S2001_C03_021M",
"Geography","Geographic Area Name","Total!!Estimate!!Population 16 years and over with earnings","Total!!Margin of Error!!Population 16 years and over with earnings","Male!!Estimate!!Population 16 years and over with earnings","Male!!Margin of Error!!Population 16 years and over with earnings","Female!!Estimate!!Population 16 years and over with earnings","Female!!Margin of Error!!Population 16 years and over with earnings","Female!!Estimate!!Median earnings (dollars)","Female!!Margin of Error!!Median earnings (dollars)","Male!!Margin of Error!!Median earnings (dollars)","Male!!Estimate!!Median earnings (dollars)","Total!!Margin of Error!!Median earnings (dollars)","Total!!Estimate!!Median earnings (dollars)","Total!!Estimate!!Full-time, year-round workers with earnings","Total!!Margin of Error!!Full-time, year-round workers with earnings","Male!!Estimate!!Full-time, year-round workers with earnings","Male!!Margin of Error!!Full-time, year-round workers with earnings","Female!!Estimate!!Full-time, year-round workers with earnings","Female!!Margin of Error!!Full-time, year-round workers with earnings","Total!!Estimate!!$1 to $9,999 or loss","Total!!Margin of Error!!$1 to $9,999 or loss","Male!!Estimate!!$1 to $9,999 or loss","Male!!Margin of Error!!$1 to $9,999 or loss","Female!!Estimate!!$1 to $9,999 or loss","Female!!Margin of Error!!$1 to $9,999 or loss","Female!!Estimate!!$10,000 to $14,999","Female!!Margin of Error!!$10,000 to $14,999","Male!!Margin of Error!!$10,000 to $14,999","Male!!Estimate!!$10,000 to $14,999","Total!!Margin of Error!!$10,000 to $14,999","Total!!Estimate!!$10,000 to $14,999","Total!!Margin of Error!!$15,000 to $24,999","Total!!Estimate!!$15,000 to $24,999","Male!!Estimate!!$15,000 to $24,999","Male!!Margin of Error!!$15,000 to $24,999","Female!!Estimate!!$15,000 to $24,999","Female!!Margin of Error!!$15,000 to $24,999","Total!!Estimate!!$25,000 to $34,999","Total!!Margin of Error!!$25,000 to $34,999","Male!!Estimate!!$25,000 to $34,999","Male!!Margin of Error!!$25,000 to $34,999","Female!!Estimate!!$25,000 to $34,999","Female!!Margin of Error!!$25,000 to $34,999","Total!!Margin of Error!!$35,000 to $49,999","Total!!Estimate!!$35,000 to $49,999","Male!!Estimate!!$35,000 to $49,999","Male!!Margin of Error!!$35,000 to $49,999","Female!!Margin of Error!!$35,000 to $49,999","Female!!Estimate!!$35,000 to $49,999","Total!!Estimate!!$50,000 to $64,999","Total!!Margin of Error!!$50,000 to $64,999","Male!!Estimate!!$50,000 to $64,999","Male!!Margin of Error!!$50,000 to $64,999","Female!!Estimate!!$50,000 to $64,999","Female!!Margin of Error!!$50,000 to $64,999","Total!!Estimate!!$65,000 to $74,999","Total!!Margin of Error!!$65,000 to $74,999","Female!!Estimate!!$65,000 to $74,999","Female!!Margin of Error!!$65,000 to $74,999","Male!!Margin of Error!!$65,000 to $74,999","Male!!Estimate!!$65,000 to $74,999","Total!!Estimate!!$75,000 to $99,999","Total!!Margin of Error!!$75,000 to $99,999","Male!!Estimate!!$75,000 to $99,999","Male!!Margin of Error!!$75,000 to $99,999","Female!!Estimate!!$75,000 to $99,999","Female!!Margin of Error!!$75,000 to $99,999","Female!!Estimate!!$100,000 or more","Female!!Margin of Error!!$100,000 or more","Male!!Margin of Error!!$100,000 or more","Male!!Estimate!!$100,000 or more","Total!!Margin of Error!!$100,000 or more","Total!!Estimate!!$100,000 or more","Total!!Estimate!!Median earnings (dollars)","Total!!Margin of Error!!Median earnings (dollars)","Male!!Estimate!!Median earnings (dollars)","Male!!Margin of Error!!Median earnings (dollars)","Female!!Estimate!!Median earnings (dollars)","Female!!Margin of Error!!Median earnings (dollars)","Total!!Estimate!!Mean earnings (dollars)","Total!!Margin of Error!!Mean earnings (dollars)","Female!!Margin of Error!!Mean earnings (dollars)","Female!!Estimate!!Mean earnings (dollars)","Male!!Margin of Error!!Mean earnings (dollars)","Male!!Estimate!!Mean earnings (dollars)","Female!!Estimate!!MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT!!Population 25 years and over with earnings","Female!!Margin of Error!!MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT!!Population 25 years and over with earnings","Male!!Margin of Error!!MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT!!Population 25 years and over with earnings","Male!!Estimate!!MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT!!Population 25 years and over with earnings","Total!!Margin of Error!!MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT!!Population 25 years and over with earnings","Total!!Estimate!!MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT!!Population 25 years and over with earnings","Female!!Estimate!!MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT!!Less than high school graduate","Female!!Margin of Error!!MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT!!Less than high school graduate","Male!!Margin of Error!!MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT!!Less than high school graduate","Male!!Estimate!!MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT!!Less than high school graduate","Total!!Margin of Error!!MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT!!Less than high school graduate","Total!!Estimate!!MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT!!Less than high school graduate","Male!!Estimate!!MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT!!High school graduate (includes equivalency)","Male!!Margin of Error!!MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT!!High school graduate (includes equivalency)","Total!!Margin of Error!!MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT!!High school graduate (includes equivalency)","Total!!Estimate!!MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT!!High school graduate (includes equivalency)","Female!!Estimate!!MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT!!High school graduate (includes equivalency)","Female!!Margin of Error!!MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT!!High school graduate (includes equivalency)","Total!!Estimate!!MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT!!Some college or associate's degree","Total!!Margin of Error!!MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT!!Some college or associate's degree","Male!!Estimate!!MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT!!Some college or associate's degree","Male!!Margin of Error!!MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT!!Some college or associate's degree","Female!!Estimate!!MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT!!Some college or associate's degree","Female!!Margin of Error!!MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT!!Some college or associate's degree","Male!!Estimate!!MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT!!Bachelor's degree","Male!!Margin of Error!!MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT!!Bachelor's degree","Total!!Margin of Error!!MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT!!Bachelor's degree","Total!!Estimate!!MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT!!Bachelor's degree","Female!!Margin of Error!!MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT!!Bachelor's degree","Female!!Estimate!!MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT!!Bachelor's degree","Total!!Estimate!!MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT!!Graduate or professional degree","Total!!Margin of Error!!MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT!!Graduate or professional degree","Male!!Estimate!!MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT!!Graduate or professional degree","Male!!Margin of Error!!MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT!!Graduate or professional degree","Female!!Estimate!!MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT!!Graduate or professional degree","Female!!Margin of Error!!MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT!!Graduate or professional degree","Total!!Estimate!!PERCENT IMPUTED!!Earnings in the past 12 months","Total!!Margin of Error!!PERCENT IMPUTED!!Earnings in the past 12 months","Male!!Estimate!!PERCENT IMPUTED!!Earnings in the past 12 months","Male!!Margin of Error!!PERCENT IMPUTED!!Earnings in the past 12 months","Female!!Estimate!!PERCENT IMPUTED!!Earnings in the past 12 months","Female!!Margin of Error!!PERCENT IMPUTED!!Earnings in the past 12 months",
"0100000US","United States","158884879","147350","83278579","82714","75606300","94787","24157","77","145","33276","76","28899","96447572","122141","54540775","81988","41906797","81265","2.2","0.1","1.9","0.1","2.5","0.1","5.6","0.1","0.1","3.7","0.1","4.5","0.1","15.5","13.0","0.1","18.7","0.1","17.1","0.1","14.9","0.1","19.9","0.1","0.1","20.8","19.8","0.1","0.1","22.1","14.7","0.1","15.5","0.1","13.5","0.1","5.9","0.1","5.2","0.1","0.1","6.5","8.8","0.1","10.3","0.1","6.8","0.1","5.8","0.1","0.1","14.2","0.1","10.5","(X)","(X)","46500","78","36551","65","54886","109","103","45097","154","62407","28429","94","57","40135","97","33298","14470","110","86","21387","103","18413","31376","64","56","26349","21427","64","31928","45","39925","189","27062","74","57815","440","123","47422","96","40393","62618","309","79962","605","52866","275","17.2","(X)","(X)","(X)","(X)","(X)",
