"GEO_ID","NAME","S2001_C01_001E","S2001_C01_001M","S2001_C02_001E","S2001_C02_001M","S2001_C03_001E","S2001_C03_001M","S2001_C01_002E","S2001_C01_002M","S2001_C02_002E","S2001_C02_002M","S2001_C03_002E","S2001_C03_002M","S2001_C01_003E","S2001_C01_003M","S2001_C02_003E","S2001_C02_003M","S2001_C03_003E","S2001_C03_003M","S2001_C01_004E","S2001_C01_004M","S2001_C02_004E","S2001_C02_004M","S2001_C03_004E","S2001_C03_004M","S2001_C01_005E","S2001_C01_005M","S2001_C02_005E","S2001_C02_005M","S2001_C03_005E","S2001_C03_005M","S2001_C01_006E","S2001_C01_006M","S2001_C02_006E","S2001_C02_006M","S2001_C03_006E","S2001_C03_006M","S2001_C01_007E","S2001_C01_007M","S2001_C02_007E","S2001_C02_007M","S2001_C03_007E","S2001_C03_007M","S2001_C01_008E","S2001_C01_008M","S2001_C02_008E","S2001_C02_008M","S2001_C03_008E","S2001_C03_008M","S2001_C01_009E","S2001_C01_009M","S2001_C02_009E","S2001_C02_009M","S2001_C03_009E","S2001_C03_009M","S2001_C01_010E","S2001_C01_010M","S2001_C02_010E","S2001_C02_010M","S2001_C03_010E","S2001_C03_010M","S2001_C01_011E","S2001_C01_011M","S2001_C02_011E","S2001_C02_011M","S2001_C03_011E","S2001_C03_011M","S2001_C01_012E","S2001_C01_012M","S2001_C02_012E","S2001_C02_012M","S2001_C03_012E","S2001_C03_012M","S2001_C01_013E","S2001_C01_013M","S2001_C02_013E","S2001_C02_013M","S2001_C03_013E","S2001_C03_013M","S2001_C01_014E","S2001_C01_014M","S2001_C02_014E","S2001_C02_014M","S2001_C03_014E","S2001_C03_014M","S2001_C01_015E","S2001_C01_015M","S2001_C02_015E","S2001_C02_015M","S2001_C03_015E","S2001_C03_015M","S2001_C01_016E","S2001_C01_016M","S2001_C02_016E","S2001_C02_016M","S2001_C03_016E","S2001_C03_016M","S2001_C01_017E","S2001_C01_017M","S2001_C02_017E","S2001_C02_017M","S2001_C03_017E","S2001_C03_017M","S2001_C01_018E","S2001_C01_018M","S2001_C02_018E","S2001_C02_018M","S2001_C03_018E","S2001_C03_018M","S2001_C01_019E","S2001_C01_019M","S2001_C02_019E","S2001_C02_019M","S2001_C03_019E","S2001_C03_019M","S2001_C01_020E","S2001_C01_020M","S2001_C02_020E","S2001_C02_020M","S2001_C03_020E","S2001_C03_020M","S2001_C01_021E","S2001_C01_021M","S2001_C02_021E","S2001_C02_021M","S2001_C03_021E","S2001_C03_021M",
"Geography","Geographic Area Name","Total!!Estimate!!Population 16 years and over with earnings","Total!!Margin of Error!!Population 16 years and over with earnings","Male!!Estimate!!Population 16 years and over with earnings","Male!!Margin of Error!!Population 16 years and over with earnings","Female!!Estimate!!Population 16 years and over with earnings","Female!!Margin of Error!!Population 16 years and over with earnings","Total!!Estimate!!Median earnings (dollars)","Total!!Margin of Error!!Median earnings (dollars)","Male!!Estimate!!Median earnings (dollars)","Male!!Margin of Error!!Median earnings (dollars)","Female!!Estimate!!Median earnings (dollars)","Female!!Margin of Error!!Median earnings (dollars)","Total!!Estimate!!Full-time, year-round workers with earnings","Total!!Margin of Error!!Full-time, year-round workers with earnings","Male!!Estimate!!Full-time, year-round workers with earnings","Male!!Margin of Error!!Full-time, year-round workers with earnings","Female!!Estimate!!Full-time, year-round workers with earnings","Female!!Margin of Error!!Full-time, year-round workers with earnings","Total!!Estimate!!Full-time, year-round workers with earnings!!$1 to $9,999 or loss","Total!!Margin of Error!!Full-time, year-round workers with earnings!!$1 to $9,999 or loss","Male!!Estimate!!Full-time, year-round workers with earnings!!$1 to $9,999 or loss","Male!!Margin of Error!!Full-time, year-round workers with earnings!!$1 to $9,999 or loss","Female!!Estimate!!Full-time, year-round workers with earnings!!$1 to $9,999 or loss","Female!!Margin of Error!!Full-time, year-round workers with earnings!!$1 to $9,999 or loss","Total!!Estimate!!Full-time, year-round workers with earnings!!$10,000 to $14,999","Total!!Margin of Error!!Full-time, year-round workers with earnings!!$10,000 to $14,999","Male!!Estimate!!Full-time, year-round workers with earnings!!$10,000 to $14,999","Male!!Margin of Error!!Full-time, year-round workers with earnings!!$10,000 to $14,999","Female!!Estimate!!Full-time, year-round workers with earnings!!$10,000 to $14,999","Female!!Margin of Error!!Full-time, year-round workers with earnings!!$10,000 to $14,999","Total!!Estimate!!Full-time, year-round workers with earnings!!$15,000 to $24,999","Total!!Margin of Error!!Full-time, year-round workers with earnings!!$15,000 to $24,999","Male!!Estimate!!Full-time, year-round workers with earnings!!$15,000 to $24,999","Male!!Margin of Error!!Full-time, year-round workers with earnings!!$15,000 to $24,999","Female!!Estimate!!Full-time, year-round workers with earnings!!$15,000 to $24,999","Female!!Margin of Error!!Full-time, year-round workers with earnings!!$15,000 to $24,999","Total!!Estimate!!Full-time, year-round workers with earnings!!$25,000 to $34,999","Total!!Margin of Error!!Full-time, year-round workers with earnings!!$25,000 to $34,999","Male!!Estimate!!Full-time, year-round workers with earnings!!$25,000 to $34,999","Male!!Margin of Error!!Full-time, year-round workers with earnings!!$25,000 to $34,999","Female!!Estimate!!Full-time, year-round workers with earnings!!$25,000 to $34,999","Female!!Margin of Error!!Full-time, year-round workers with earnings!!$25,000 to $34,999","Total!!Estimate!!Full-time, year-round workers with earnings!!$35,000 to $49,999","Total!!Margin of Error!!Full-time, year-round workers with earnings!!$35,000 to $49,999","Male!!Estimate!!Full-time, year-round workers with earnings!!$35,000 to $49,999","Male!!Margin of Error!!Full-time, year-round workers with earnings!!$35,000 to $49,999","Female!!Estimate!!Full-time, year-round workers with earnings!!$35,000 to $49,999","Female!!Margin of Error!!Full-time, year-round workers with earnings!!$35,000 to $49,999","Total!!Estimate!!Full-time, year-round workers with earnings!!$50,000 to $64,999","Total!!Margin of Error!!Full-time, year-round workers with earnings!!$50,000 to $64,999","Male!!Estimate!!Full-time, year-round workers with earnings!!$50,000 to $64,999","Male!!Margin of Error!!Full-time, year-round workers with earnings!!$50,000 to $64,999","Female!!Estimate!!Full-time, year-round workers with earnings!!$50,000 to $64,999","Female!!Margin of Error!!Full-time, year-round workers with earnings!!$50,000 to $64,999","Total!!Estimate!!Full-time, year-round workers with earnings!!$65,000 to $74,999","Total!!Margin of Error!!Full-time, year-round workers with earnings!!$65,000 to $74,999","Male!!Estimate!!Full-time, year-round workers with earnings!!$65,000 to $74,999","Male!!Margin of Error!!Full-time, year-round workers with earnings!!$65,000 to $74,999","Female!!Estimate!!Full-time, year-round workers with earnings!!$65,000 to $74,999","Female!!Margin of Error!!Full-time, year-round workers with earnings!!$65,000 to $74,999","Total!!Estimate!!Full-time, year-round workers with earnings!!$75,000 to $99,999","Total!!Margin of Error!!Full-time, year-round workers with earnings!!$75,000 to $99,999","Male!!Estimate!!Full-time, year-round workers with earnings!!$75,000 to $99,999","Male!!Margin of Error!!Full-time, year-round workers with earnings!!$75,000 to $99,999","Female!!Estimate!!Full-time, year-round workers with earnings!!$75,000 to $99,999","Female!!Margin of Error!!Full-time, year-round workers with earnings!!$75,000 to $99,999","Total!!Estimate!!Full-time, year-round workers with earnings!!$100,000 or more","Total!!Margin of Error!!Full-time, year-round workers with earnings!!$100,000 or more","Male!!Estimate!!Full-time, year-round workers with earnings!!$100,000 or more","Male!!Margin of Error!!Full-time, year-round workers with earnings!!$100,000 or more","Female!!Estimate!!Full-time, year-round workers with earnings!!$100,000 or more","Female!!Margin of Error!!Full-time, year-round workers with earnings!!$100,000 or more","Total!!Estimate!!Median earnings (dollars)","Total!!Margin of Error!!Median earnings (dollars)","Male!!Estimate!!Median earnings (dollars)","Male!!Margin of Error!!Median earnings (dollars)","Female!!Estimate!!Median earnings (dollars)","Female!!Margin of Error!!Median earnings (dollars)","Total!!Estimate!!Mean earnings (dollars)","Total!!Margin of Error!!Mean earnings (dollars)","Male!!Estimate!!Mean earnings (dollars)","Male!!Margin of Error!!Mean earnings (dollars)","Female!!Estimate!!Mean earnings (dollars)","Female!!Margin of Error!!Mean earnings (dollars)","Total!!Estimate!!MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT!!Population 25 years and over with earnings","Total!!Margin of Error!!MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT!!Population 25 years and over with earnings","Male!!Estimate!!MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT!!Population 25 years and over with earnings","Male!!Margin of Error!!MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT!!Population 25 years and over with earnings","Female!!Estimate!!MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT!!Population 25 years and over with earnings","Female!!Margin of Error!!MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT!!Population 25 years and over with earnings","Total!!Estimate!!MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT!!Population 25 years and over with earnings!!Less than high school graduate","Total!!Margin of Error!!MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT!!Population 25 years and over with earnings!!Less than high school graduate","Male!!Estimate!!MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT!!Population 25 years and over with earnings!!Less than high school graduate","Male!!Margin of Error!!MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT!!Population 25 years and over with earnings!!Less than high school graduate","Female!!Estimate!!MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT!!Population 25 years and over with earnings!!Less than high school graduate","Female!!Margin of Error!!MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT!!Population 25 years and over with earnings!!Less than high school graduate","Total!!Estimate!!MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT!!Population 25 years and over with earnings!!High school graduate (includes equivalency)","Total!!Margin of Error!!MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT!!Population 25 years and over with earnings!!High school graduate (includes equivalency)","Male!!Estimate!!MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT!!Population 25 years and over with earnings!!High school graduate (includes equivalency)","Male!!Margin of Error!!MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT!!Population 25 years and over with earnings!!High school graduate (includes equivalency)","Female!!Estimate!!MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT!!Population 25 years and over with earnings!!High school graduate (includes equivalency)","Female!!Margin of Error!!MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT!!Population 25 years and over with earnings!!High school graduate (includes equivalency)","Total!!Estimate!!MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT!!Population 25 years and over with earnings!!Some college or associate's degree","Total!!Margin of Error!!MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT!!Population 25 years and over with earnings!!Some college or associate's degree","Male!!Estimate!!MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT!!Population 25 years and over with earnings!!Some college or associate's degree","Male!!Margin of Error!!MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT!!Population 25 years and over with earnings!!Some college or associate's degree","Female!!Estimate!!MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT!!Population 25 years and over with earnings!!Some college or associate's degree","Female!!Margin of Error!!MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT!!Population 25 years and over with earnings!!Some college or associate's degree","Total!!Estimate!!MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT!!Population 25 years and over with earnings!!Bachelor's degree","Total!!Margin of Error!!MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT!!Population 25 years and over with earnings!!Bachelor's degree","Male!!Estimate!!MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT!!Population 25 years and over with earnings!!Bachelor's degree","Male!!Margin of Error!!MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT!!Population 25 years and over with earnings!!Bachelor's degree","Female!!Estimate!!MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT!!Population 25 years and over with earnings!!Bachelor's degree","Female!!Margin of Error!!MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT!!Population 25 years and over with earnings!!Bachelor's degree","Total!!Estimate!!MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT!!Population 25 years and over with earnings!!Graduate or professional degree","Total!!Margin of Error!!MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT!!Population 25 years and over with earnings!!Graduate or professional degree","Male!!Estimate!!MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT!!Population 25 years and over with earnings!!Graduate or professional degree","Male!!Margin of Error!!MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT!!Population 25 years and over with earnings!!Graduate or professional degree","Female!!Estimate!!MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT!!Population 25 years and over with earnings!!Graduate or professional degree","Female!!Margin of Error!!MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT!!Population 25 years and over with earnings!!Graduate or professional degree","Total!!Estimate!!PERCENT IMPUTED!!Earnings in the past 12 months","Total!!Margin of Error!!PERCENT IMPUTED!!Earnings in the past 12 months","Male!!Estimate!!PERCENT IMPUTED!!Earnings in the past 12 months","Male!!Margin of Error!!PERCENT IMPUTED!!Earnings in the past 12 months","Female!!Estimate!!PERCENT IMPUTED!!Earnings in the past 12 months","Female!!Margin of Error!!PERCENT IMPUTED!!Earnings in the past 12 months",
"0100000US","United States","161196351","163209","84706186","82597","76490165","87508","30538","42","35786","102","25416","26","99018257","75776","56495992","72088","42522265","30490","2.0","0.1","1.8","0.1","2.3","0.1","4.0","0.1","3.2","0.1","4.9","0.1","14.3","0.1","12.1","0.1","17.2","0.1","16.9","0.1","14.8","0.1","19.6","0.1","20.3","0.1","19.1","0.1","21.9","0.1","14.9","0.1","15.5","0.1","14.1","0.1","6.0","0.1","6.5","0.1","5.4","0.1","9.7","0.1","11.2","0.1","7.8","0.1","12.0","0.1","15.8","0.1","6.9","0.1","(X)","(X)","49087","143","38635","81","58701","136","66625","167","48173","92","35644","83","42016","105","30182","37","19652","44","22676","70","15235","32","27528","49","32888","79","22245","32","33702","50","41520","69","28279","59","50254","58","61250","124","41814","60","66493","85","83609","205","55768","94","17.4","(X)","(X)","(X)","(X)","(X)",
