"Column Name","Label"
"S2001_C02_015M","Male!!Margin of Error!!MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT!!Population 25 years and over with earnings"
"S2001_C03_015E","Female!!Estimate!!MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT!!Population 25 years and over with earnings"
"S2001_C03_015M","Female!!Margin of Error!!MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT!!Population 25 years and over with earnings"
"S2001_C01_016E","Total!!Estimate!!MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT!!Less than high school graduate"
"S2001_C01_016M","Total!!Margin of Error!!MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT!!Less than high school graduate"
"S2001_C02_016E","Male!!Estimate!!MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT!!Less than high school graduate"
"S2001_C02_016M","Male!!Margin of Error!!MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT!!Less than high school graduate"
"S2001_C03_016E","Female!!Estimate!!MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT!!Less than high school graduate"
"S2001_C03_016M","Female!!Margin of Error!!MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT!!Less than high school graduate"
"S2001_C01_017E","Total!!Estimate!!MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT!!High school graduate (includes equivalency)"
"S2001_C01_017M","Total!!Margin of Error!!MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT!!High school graduate (includes equivalency)"
"S2001_C02_017E","Male!!Estimate!!MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT!!High school graduate (includes equivalency)"
"S2001_C02_017M","Male!!Margin of Error!!MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT!!High school graduate (includes equivalency)"
"S2001_C03_017E","Female!!Estimate!!MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT!!High school graduate (includes equivalency)"
"S2001_C03_017M","Female!!Margin of Error!!MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT!!High school graduate (includes equivalency)"
"S2001_C01_018E","Total!!Estimate!!MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT!!Some college or associate's degree"
"S2001_C01_018M","Total!!Margin of Error!!MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT!!Some college or associate's degree"
"S2001_C02_018E","Male!!Estimate!!MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT!!Some college or associate's degree"
"S2001_C02_018M","Male!!Margin of Error!!MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT!!Some college or associate's degree"
"S2001_C03_018E","Female!!Estimate!!MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT!!Some college or associate's degree"
"S2001_C03_018M","Female!!Margin of Error!!MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT!!Some college or associate's degree"
"S2001_C01_019E","Total!!Estimate!!MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT!!Bachelor's degree"
"S2001_C01_019M","Total!!Margin of Error!!MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT!!Bachelor's degree"
"S2001_C02_019E","Male!!Estimate!!MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT!!Bachelor's degree"
"S2001_C02_019M","Male!!Margin of Error!!MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT!!Bachelor's degree"
"S2001_C03_019E","Female!!Estimate!!MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT!!Bachelor's degree"
"S2001_C03_019M","Female!!Margin of Error!!MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT!!Bachelor's degree"
"S2001_C01_020E","Total!!Estimate!!MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT!!Graduate or professional degree"
"S2001_C01_020M","Total!!Margin of Error!!MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT!!Graduate or professional degree"
"S2001_C02_020E","Male!!Estimate!!MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT!!Graduate or professional degree"
"S2001_C02_020M","Male!!Margin of Error!!MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT!!Graduate or professional degree"
"S2001_C03_020E","Female!!Estimate!!MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT!!Graduate or professional degree"
"S2001_C03_020M","Female!!Margin of Error!!MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT!!Graduate or professional degree"
"S2001_C01_021E","Total!!Estimate!!PERCENT IMPUTED!!Earnings in the past 12 months"
"S2001_C01_021M","Total!!Margin of Error!!PERCENT IMPUTED!!Earnings in the past 12 months"
"S2001_C02_021E","Male!!Estimate!!PERCENT IMPUTED!!Earnings in the past 12 months"
"S2001_C02_021M","Male!!Margin of Error!!PERCENT IMPUTED!!Earnings in the past 12 months"
"S2001_C03_021E","Female!!Estimate!!PERCENT IMPUTED!!Earnings in the past 12 months"
"S2001_C03_021M","Female!!Margin of Error!!PERCENT IMPUTED!!Earnings in the past 12 months"
