"GEO_ID","NAME","B19001B_001E","B19001B_001M","B19001B_002E","B19001B_002M","B19001B_003E","B19001B_003M","B19001B_004E","B19001B_004M","B19001B_005E","B19001B_005M","B19001B_006E","B19001B_006M","B19001B_007E","B19001B_007M","B19001B_008E","B19001B_008M","B19001B_009E","B19001B_009M","B19001B_010E","B19001B_010M","B19001B_011E","B19001B_011M","B19001B_012E","B19001B_012M","B19001B_013E","B19001B_013M","B19001B_014E","B19001B_014M","B19001B_015E","B19001B_015M","B19001B_016E","B19001B_016M","B19001B_017E","B19001B_017M",
"Geography","Geographic Area Name","Estimate!!Total","Margin of Error!!Total","Estimate!!Total!!Less than $10,000","Margin of Error!!Total!!Less than $10,000","Estimate!!Total!!$10,000 to $14,999","Margin of Error!!Total!!$10,000 to $14,999","Estimate!!Total!!$15,000 to $19,999","Margin of Error!!Total!!$15,000 to $19,999","Estimate!!Total!!$20,000 to $24,999","Margin of Error!!Total!!$20,000 to $24,999","Estimate!!Total!!$25,000 to $29,999","Margin of Error!!Total!!$25,000 to $29,999","Estimate!!Total!!$30,000 to $34,999","Margin of Error!!Total!!$30,000 to $34,999","Estimate!!Total!!$35,000 to $39,999","Margin of Error!!Total!!$35,000 to $39,999","Estimate!!Total!!$40,000 to $44,999","Margin of Error!!Total!!$40,000 to $44,999","Estimate!!Total!!$45,000 to $49,999","Margin of Error!!Total!!$45,000 to $49,999","Estimate!!Total!!$50,000 to $59,999","Margin of Error!!Total!!$50,000 to $59,999","Estimate!!Total!!$60,000 to $74,999","Margin of Error!!Total!!$60,000 to $74,999","Estimate!!Total!!$75,000 to $99,999","Margin of Error!!Total!!$75,000 to $99,999","Estimate!!Total!!$100,000 to $124,999","Margin of Error!!Total!!$100,000 to $124,999","Estimate!!Total!!$125,000 to $149,999","Margin of Error!!Total!!$125,000 to $149,999","Estimate!!Total!!$150,000 to $199,999","Margin of Error!!Total!!$150,000 to $199,999","Estimate!!Total!!$200,000 or more","Margin of Error!!Total!!$200,000 or more",
"0100000US","United States","13842116","29915","2001041","9955","1168963","6894","1007841","7379","939351","7147","880928","6088","836288","6655","720163","6333","690022","5935","567622","5652","1036179","8021","1165954","8820","1234575","8767","690781","7536","377013","5240","321987","4201","203408","3533",
