"GEO_ID","NAME","B19001D_001E","B19001D_001M","B19001D_002E","B19001D_002M","B19001D_003E","B19001D_003M","B19001D_004E","B19001D_004M","B19001D_005E","B19001D_005M","B19001D_006E","B19001D_006M","B19001D_007E","B19001D_007M","B19001D_008E","B19001D_008M","B19001D_009E","B19001D_009M","B19001D_010E","B19001D_010M","B19001D_011E","B19001D_011M","B19001D_012E","B19001D_012M","B19001D_013E","B19001D_013M","B19001D_014E","B19001D_014M","B19001D_015E","B19001D_015M","B19001D_016E","B19001D_016M","B19001D_017E","B19001D_017M",
"Geography","Geographic Area Name","Estimate!!Total","Margin of Error!!Total","Estimate!!Total!!Less than $10,000","Margin of Error!!Total!!Less than $10,000","Estimate!!Total!!$10,000 to $14,999","Margin of Error!!Total!!$10,000 to $14,999","Estimate!!Total!!$15,000 to $19,999","Margin of Error!!Total!!$15,000 to $19,999","Estimate!!Total!!$20,000 to $24,999","Margin of Error!!Total!!$20,000 to $24,999","Estimate!!Total!!$25,000 to $29,999","Margin of Error!!Total!!$25,000 to $29,999","Estimate!!Total!!$30,000 to $34,999","Margin of Error!!Total!!$30,000 to $34,999","Estimate!!Total!!$35,000 to $39,999","Margin of Error!!Total!!$35,000 to $39,999","Estimate!!Total!!$40,000 to $44,999","Margin of Error!!Total!!$40,000 to $44,999","Estimate!!Total!!$45,000 to $49,999","Margin of Error!!Total!!$45,000 to $49,999","Estimate!!Total!!$50,000 to $59,999","Margin of Error!!Total!!$50,000 to $59,999","Estimate!!Total!!$60,000 to $74,999","Margin of Error!!Total!!$60,000 to $74,999","Estimate!!Total!!$75,000 to $99,999","Margin of Error!!Total!!$75,000 to $99,999","Estimate!!Total!!$100,000 to $124,999","Margin of Error!!Total!!$100,000 to $124,999","Estimate!!Total!!$125,000 to $149,999","Margin of Error!!Total!!$125,000 to $149,999","Estimate!!Total!!$150,000 to $199,999","Margin of Error!!Total!!$150,000 to $199,999","Estimate!!Total!!$200,000 or more","Margin of Error!!Total!!$200,000 or more",
"0100000US","United States","5368704","23578","355165","9378","187463","7210","182674","6436","197478","6034","167736","5673","193471","7000","173067","7348","176450","6630","159922","7118","335828","9609","476234","10021","668951","13624","569660","12564","379265","8617","505355","10029","639985","11689",
