"GEO_ID","NAME","B19001H_001E","B19001H_001M","B19001H_002E","B19001H_002M","B19001H_003E","B19001H_003M","B19001H_004E","B19001H_004M","B19001H_005E","B19001H_005M","B19001H_006E","B19001H_006M","B19001H_007E","B19001H_007M","B19001H_008E","B19001H_008M","B19001H_009E","B19001H_009M","B19001H_010E","B19001H_010M","B19001H_011E","B19001H_011M","B19001H_012E","B19001H_012M","B19001H_013E","B19001H_013M","B19001H_014E","B19001H_014M","B19001H_015E","B19001H_015M","B19001H_016E","B19001H_016M","B19001H_017E","B19001H_017M",
"Geography","Geographic Area Name","Estimate!!Total:","Margin of Error!!Total:","Estimate!!Total:!!Less than $10,000","Margin of Error!!Total:!!Less than $10,000","Estimate!!Total:!!$10,000 to $14,999","Margin of Error!!Total:!!$10,000 to $14,999","Estimate!!Total:!!$15,000 to $19,999","Margin of Error!!Total:!!$15,000 to $19,999","Estimate!!Total:!!$20,000 to $24,999","Margin of Error!!Total:!!$20,000 to $24,999","Estimate!!Total:!!$25,000 to $29,999","Margin of Error!!Total:!!$25,000 to $29,999","Estimate!!Total:!!$30,000 to $34,999","Margin of Error!!Total:!!$30,000 to $34,999","Estimate!!Total:!!$35,000 to $39,999","Margin of Error!!Total:!!$35,000 to $39,999","Estimate!!Total:!!$40,000 to $44,999","Margin of Error!!Total:!!$40,000 to $44,999","Estimate!!Total:!!$45,000 to $49,999","Margin of Error!!Total:!!$45,000 to $49,999","Estimate!!Total:!!$50,000 to $59,999","Margin of Error!!Total:!!$50,000 to $59,999","Estimate!!Total:!!$60,000 to $74,999","Margin of Error!!Total:!!$60,000 to $74,999","Estimate!!Total:!!$75,000 to $99,999","Margin of Error!!Total:!!$75,000 to $99,999","Estimate!!Total:!!$100,000 to $124,999","Margin of Error!!Total:!!$100,000 to $124,999","Estimate!!Total:!!$125,000 to $149,999","Margin of Error!!Total:!!$125,000 to $149,999","Estimate!!Total:!!$150,000 to $199,999","Margin of Error!!Total:!!$150,000 to $199,999","Estimate!!Total:!!$200,000 or more","Margin of Error!!Total:!!$200,000 or more",
"0100000US","United States","81866282","149335","3773273","14830","2902832","11605","3074790","13951","3261020","13740","3202264","15286","3336212","13932","3145080","15080","3278287","13572","2994404","12920","6018986","21090","8051785","21787","10881765","33812","8223197","34005","5625084","29008","6414091","31847","7683212","36274",
