"GEO_ID","NAME","B19001I_001E","B19001I_001M","B19001I_002E","B19001I_002M","B19001I_003E","B19001I_003M","B19001I_004E","B19001I_004M","B19001I_005E","B19001I_005M","B19001I_006E","B19001I_006M","B19001I_007E","B19001I_007M","B19001I_008E","B19001I_008M","B19001I_009E","B19001I_009M","B19001I_010E","B19001I_010M","B19001I_011E","B19001I_011M","B19001I_012E","B19001I_012M","B19001I_013E","B19001I_013M","B19001I_014E","B19001I_014M","B19001I_015E","B19001I_015M","B19001I_016E","B19001I_016M","B19001I_017E","B19001I_017M",
"Geography","Geographic Area Name","Estimate!!Total","Margin of Error!!Total","Estimate!!Total!!Less than $10,000","Margin of Error!!Total!!Less than $10,000","Estimate!!Total!!$10,000 to $14,999","Margin of Error!!Total!!$10,000 to $14,999","Estimate!!Total!!$15,000 to $19,999","Margin of Error!!Total!!$15,000 to $19,999","Estimate!!Total!!$20,000 to $24,999","Margin of Error!!Total!!$20,000 to $24,999","Estimate!!Total!!$25,000 to $29,999","Margin of Error!!Total!!$25,000 to $29,999","Estimate!!Total!!$30,000 to $34,999","Margin of Error!!Total!!$30,000 to $34,999","Estimate!!Total!!$35,000 to $39,999","Margin of Error!!Total!!$35,000 to $39,999","Estimate!!Total!!$40,000 to $44,999","Margin of Error!!Total!!$40,000 to $44,999","Estimate!!Total!!$45,000 to $49,999","Margin of Error!!Total!!$45,000 to $49,999","Estimate!!Total!!$50,000 to $59,999","Margin of Error!!Total!!$50,000 to $59,999","Estimate!!Total!!$60,000 to $74,999","Margin of Error!!Total!!$60,000 to $74,999","Estimate!!Total!!$75,000 to $99,999","Margin of Error!!Total!!$75,000 to $99,999","Estimate!!Total!!$100,000 to $124,999","Margin of Error!!Total!!$100,000 to $124,999","Estimate!!Total!!$125,000 to $149,999","Margin of Error!!Total!!$125,000 to $149,999","Estimate!!Total!!$150,000 to $199,999","Margin of Error!!Total!!$150,000 to $199,999","Estimate!!Total!!$200,000 or more","Margin of Error!!Total!!$200,000 or more",
"0100000US","United States","13637150","56416","1271208","22192","954073","16182","1002197","19696","1037248","14384","929558","19659","896947","18379","783321","17424","751064","17371","636468","13290","1131920","22080","1279584","20558","1306891","22152","736399","16874","368778","11584","329691","10687","221803","8627",
