"GEO_ID","NAME","B19001G_001E","B19001G_001M","B19001G_002E","B19001G_002M","B19001G_003E","B19001G_003M","B19001G_004E","B19001G_004M","B19001G_005E","B19001G_005M","B19001G_006E","B19001G_006M","B19001G_007E","B19001G_007M","B19001G_008E","B19001G_008M","B19001G_009E","B19001G_009M","B19001G_010E","B19001G_010M","B19001G_011E","B19001G_011M","B19001G_012E","B19001G_012M","B19001G_013E","B19001G_013M","B19001G_014E","B19001G_014M","B19001G_015E","B19001G_015M","B19001G_016E","B19001G_016M","B19001G_017E","B19001G_017M",
"Geography","Geographic Area Name","Estimate!!Total","Margin of Error!!Total","Estimate!!Total!!Less than $10,000","Margin of Error!!Total!!Less than $10,000","Estimate!!Total!!$10,000 to $14,999","Margin of Error!!Total!!$10,000 to $14,999","Estimate!!Total!!$15,000 to $19,999","Margin of Error!!Total!!$15,000 to $19,999","Estimate!!Total!!$20,000 to $24,999","Margin of Error!!Total!!$20,000 to $24,999","Estimate!!Total!!$25,000 to $29,999","Margin of Error!!Total!!$25,000 to $29,999","Estimate!!Total!!$30,000 to $34,999","Margin of Error!!Total!!$30,000 to $34,999","Estimate!!Total!!$35,000 to $39,999","Margin of Error!!Total!!$35,000 to $39,999","Estimate!!Total!!$40,000 to $44,999","Margin of Error!!Total!!$40,000 to $44,999","Estimate!!Total!!$45,000 to $49,999","Margin of Error!!Total!!$45,000 to $49,999","Estimate!!Total!!$50,000 to $59,999","Margin of Error!!Total!!$50,000 to $59,999","Estimate!!Total!!$60,000 to $74,999","Margin of Error!!Total!!$60,000 to $74,999","Estimate!!Total!!$75,000 to $99,999","Margin of Error!!Total!!$75,000 to $99,999","Estimate!!Total!!$100,000 to $124,999","Margin of Error!!Total!!$100,000 to $124,999","Estimate!!Total!!$125,000 to $149,999","Margin of Error!!Total!!$125,000 to $149,999","Estimate!!Total!!$150,000 to $199,999","Margin of Error!!Total!!$150,000 to $199,999","Estimate!!Total!!$200,000 or more","Margin of Error!!Total!!$200,000 or more",
"0100000US","United States","1884883","22037","186304","3172","121889","2411","110583","2636","110988","2516","103936","2303","96739","2573","91130","2506","91465","2212","80436","2240","148994","3208","181863","3283","213876","4233","135232","3131","74168","2045","75332","1972","61948","1783",
