Domain,Area,Element,Item,Year,Unit,Value
"Crops and livestock products","Afghanistan","Production","Almonds, in shell","2022","t","64000"
"Crops and livestock products","Afghanistan","Production","Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw","2022","t","17883.38"
"Crops and livestock products","Afghanistan","Production","Apples","2022","t","318000"
"Crops and livestock products","Afghanistan","Production","Apricots","2022","t","170507.92"
"Crops and livestock products","Afghanistan","Production","Barley","2022","t","110000"
"Crops and livestock products","Afghanistan","Production","Cantaloupes and other melons","2022","t","809194.26"
"Crops and livestock products","Afghanistan","Production","Cattle fat, unrendered","2022","t","2002.72"
"Crops and livestock products","Afghanistan","Production","Edible offal of cattle, fresh, chilled or frozen","2022","t","14327.13"
"Crops and livestock products","Afghanistan","Production","Edible offal of goat, fresh, chilled or frozen","2022","t","9221.22"
"Crops and livestock products","Afghanistan","Production","Edible offal of sheep, fresh, chilled or frozen","2022","t","20825"
"Crops and livestock products","Afghanistan","Production","Edible offals of camels and other camelids, fresh, chilled or frozen","2022","t","544.32"
"Crops and livestock products","Afghanistan","Production","Fat of camels","2022","t","254.01"
"Crops and livestock products","Afghanistan","Production","Figs","2022","t","29437.38"
"Crops and livestock products","Afghanistan","Production","Game meat, fresh, chilled or frozen","2022","t","8010.44"
"Crops and livestock products","Afghanistan","Production","Goat fat, unrendered","2022","t","1747.18"
"Crops and livestock products","Afghanistan","Production","Grapes","2022","t","910000"
"Crops and livestock products","Afghanistan","Production","Hen eggs in shell, fresh","2022","t","21564.4"
"Crops and livestock products","Afghanistan","Production","Hen eggs in shell, fresh","2022","1000 No","431288"
"Crops and livestock products","Afghanistan","Production","Linseed","2022","t","29000"
"Crops and livestock products","Afghanistan","Production","Maize (corn)","2022","t","311000"
"Crops and livestock products","Afghanistan","Production","Meat of camels, fresh or chilled","2022","t","3628.77"
"Crops and livestock products","Afghanistan","Production","Meat of cattle with the bone, fresh or chilled","2022","t","81649.23"
"Crops and livestock products","Afghanistan","Production","Meat of chickens, fresh or chilled","2022","t","28790.74"
"Crops and livestock products","Afghanistan","Production","Meat of goat, fresh or chilled","2022","t","47562.08"
"Crops and livestock products","Afghanistan","Production","Meat of sheep, fresh or chilled","2022","t","102000"
"Crops and livestock products","Afghanistan","Production","Millet","2022","t","1671.6"
"Crops and livestock products","Afghanistan","Production","Mustard seed","2022","t","1032.98"
"Crops and livestock products","Afghanistan","Production","Natural honey","2022","t","1406.11"
"Crops and livestock products","Afghanistan","Production","Olives","2022","t","7687.24"
"Crops and livestock products","Afghanistan","Production","Onions and shallots, dry (excluding dehydrated)","2022","t","541000"
"Crops and livestock products","Afghanistan","Production","Oranges","2022","t","8261.21"
"Crops and livestock products","Afghanistan","Production","Other berries and fruits of the genus vaccinium n.e.c.","2022","t","37783.89"
"Crops and livestock products","Afghanistan","Production","Other citrus fruit, n.e.c.","2022","t","18501.35"
"Crops and livestock products","Afghanistan","Production","Other fruits, n.e.c.","2022","t","61977.16"
"Crops and livestock products","Afghanistan","Production","Other nuts (excluding wild edible nuts and groundnuts), in shell, n.e.c.","2022","t","2203.13"
"Crops and livestock products","Afghanistan","Production","Other pulses n.e.c.","2022","t","54454.23"
"Crops and livestock products","Afghanistan","Production","Other stimulant, spice and aromatic crops, n.e.c.","2022","t","10.89"
"Crops and livestock products","Afghanistan","Production","Other stone fruits","2022","t","50457.67"
"Crops and livestock products","Afghanistan","Production","Other vegetables, fresh n.e.c.","2022","t","766887.84"
"Crops and livestock products","Afghanistan","Production","Peaches and nectarines","2022","t","97704.88"
"Crops and livestock products","Afghanistan","Production","Pears","2022","t","32000"
"Crops and livestock products","Afghanistan","Production","Pistachios, in shell","2022","t","2800.16"
"Crops and livestock products","Afghanistan","Production","Plums and sloes","2022","t","45889.52"
"Crops and livestock products","Afghanistan","Production","Potatoes","2022","t","889000"
"Crops and livestock products","Afghanistan","Production","Raw hides and skins of cattle","2022","t","13402.8"
"Crops and livestock products","Afghanistan","Production","Raw hides and skins of goats or kids","2022","t","7182.84"
"Crops and livestock products","Afghanistan","Production","Raw hides and skins of sheep or lambs","2022","t","16150"
"Crops and livestock products","Afghanistan","Production","Raw milk of camel","2022","t","6774.81"
"Crops and livestock products","Afghanistan","Production","Raw milk of cattle","2022","t","1945903.74"
"Crops and livestock products","Afghanistan","Production","Raw milk of goats","2022","t","118312.66"
"Crops and livestock products","Afghanistan","Production","Raw milk of sheep","2022","t","162269.88"
"Crops and livestock products","Afghanistan","Production","Rice","2022","t","592000"
"Crops and livestock products","Afghanistan","Production","Seed cotton, unginned","2022","t","73516.13"
"Crops and livestock products","Afghanistan","Production","Sesame seed","2022","t","42000"
"Crops and livestock products","Afghanistan","Production","Sheep fat, unrendered","2022","t","5737.5"
"Crops and livestock products","Afghanistan","Production","Shorn wool, greasy, including fleece-washed shorn wool","2022","t","12108.38"
"Crops and livestock products","Afghanistan","Production","Silk-worm cocoons suitable for reeling","2022","t","500"
"Crops and livestock products","Afghanistan","Production","Sugar beet","2022","t","6000"
"Crops and livestock products","Afghanistan","Production","Sugar cane","2022","t","58000"
"Crops and livestock products","Afghanistan","Production","Sunflower seed","2022","t","831.24"
"Crops and livestock products","Afghanistan","Production","Walnuts, in shell","2022","t","20000"
"Crops and livestock products","Afghanistan","Production","Watermelons","2022","t","911090.55"
"Crops and livestock products","Afghanistan","Production","Wheat","2022","t","3810000"
"Crops and livestock products","Albania","Production","Apples","2022","t","103645"
"Crops and livestock products","Albania","Production","Apricots","2022","t","5500"
"Crops and livestock products","Albania","Production","Barley","2022","t","19014"
"Crops and livestock products","Albania","Production","Beans, dry","2022","t","21770"
"Crops and livestock products","Albania","Production","Broad beans and horse beans, dry","2022","t","207.96"
"Crops and livestock products","Albania","Production","Broad beans and horse beans, green","2022","t","109.02"
"Crops and livestock products","Albania","Production","Cabbages","2022","t","66696"
"Crops and livestock products","Albania","Production","Cantaloupes and other melons","2022","t","56420.7"
"Crops and livestock products","Albania","Production","Carrots and turnips","2022","t","9538.8"
"Crops and livestock products","Albania","Production","Cattle fat, unrendered","2022","t","1290.44"
"Crops and livestock products","Albania","Production","Cauliflowers and broccoli","2022","t","7676"
"Crops and livestock products","Albania","Production","Cherries","2022","t","24357"
"Crops and livestock products","Albania","Production","Chestnuts, in shell","2022","t","6022"
"Crops and livestock products","Albania","Production","Chillies and peppers, green (Capsicum spp. and Pimenta spp.)","2022","t","97017.5"
"Crops and livestock products","Albania","Production","Cucumbers and gherkins","2022","t","129896.1"
"Crops and livestock products","Albania","Production","Dates","2022","t","12084"
"Crops and livestock products","Albania","Production","Edible offal of cattle, fresh, chilled or frozen","2022","t","3703.01"
"Crops and livestock products","Albania","Production","Edible offal of goat, fresh, chilled or frozen","2022","t","2454"
"Crops and livestock products","Albania","Production","Edible offal of pigs, fresh, chilled or frozen","2022","t","566.72"
"Crops and livestock products","Albania","Production","Edible offal of sheep, fresh, chilled or frozen","2022","t","5347.95"
"Crops and livestock products","Albania","Production","Eggplants (aubergines)","2022","t","33889.5"
"Crops and livestock products","Albania","Production","Eggs from other birds in shell, fresh, n.e.c.","2022","t","200"
"Crops and livestock products","Albania","Production","Eggs from other birds in shell, fresh, n.e.c.","2022","1000 No","3120"
"Crops and livestock products","Albania","Production","Fat of pigs","2022","t","566.72"
"Crops and livestock products","Albania","Production","Figs","2022","t","23464"
"Crops and livestock products","Albania","Production","Goat fat, unrendered","2022","t","286.3"
"Crops and livestock products","Albania","Production","Grapes","2022","t","217883"
"Crops and livestock products","Albania","Production","Green garlic","2022","t","19038.7"
"Crops and livestock products","Albania","Production","Hen eggs in shell, fresh","2022","t","48918"
"Crops and livestock products","Albania","Production","Hen eggs in shell, fresh","2022","1000 No","776474"
"Crops and livestock products","Albania","Production","Hop cones","2022","t","1780.02"
"Crops and livestock products","Albania","Production","Leeks and other alliaceous vegetables","2022","t","39124.5"
"Crops and livestock products","Albania","Production","Lemons and limes","2022","t","5782"
"Crops and livestock products","Albania","Production","Lettuce and chicory","2022","t","36379"
"Crops and livestock products","Albania","Production","Maize (corn)","2022","t","401419"
"Crops and livestock products","Albania","Production","Meat of cattle with the bone, fresh or chilled","2022","t","29736.3"
"Crops and livestock products","Albania","Production","Meat of chickens, fresh or chilled","2022","t","16335.57"
"Crops and livestock products","Albania","Production","Meat of goat, fresh or chilled","2022","t","7771"
"Crops and livestock products","Albania","Production","Meat of pig with the bone, fresh or chilled","2022","t","8500.8"
"Crops and livestock products","Albania","Production","Meat of sheep, fresh or chilled","2022","t","17113.43"
"Crops and livestock products","Albania","Production","Meat of turkeys, fresh or chilled","2022","t","1211"
"Crops and livestock products","Albania","Production","Mushrooms and truffles","2022","t","100"
"Crops and livestock products","Albania","Production","Natural honey","2022","t","5390.67"
"Crops and livestock products","Albania","Production","Oats","2022","t","34157"
"Crops and livestock products","Albania","Production","Okra","2022","t","8094.37"
"Crops and livestock products","Albania","Production","Olives","2022","t","157710"
"Crops and livestock products","Albania","Production","Onions and shallots, dry (excluding dehydrated)","2022","t","108913.2"
"Crops and livestock products","Albania","Production","Onions and shallots, green","2022","t","51546.6"
"Crops and livestock products","Albania","Production","Oranges","2022","t","14294"
"Crops and livestock products","Albania","Production","Other beans, green","2022","t","13203"
"Crops and livestock products","Albania","Production","Other citrus fruit, n.e.c.","2022","t","11"
"Crops and livestock products","Albania","Production","Other fruits, n.e.c.","2022","t","3186"
"Crops and livestock products","Albania","Production","Other meat n.e.c. (excluding mammals), fresh, chilled or frozen","2022","t","168.06"
"Crops and livestock products","Albania","Production","Other nuts (excluding wild edible nuts and groundnuts), in shell, n.e.c.","2022","t","11561"
"Crops and livestock products","Albania","Production","Other pulses n.e.c.","2022","t","721.42"
"Crops and livestock products","Albania","Production","Other stimulant, spice and aromatic crops, n.e.c.","2022","t","345.73"
"Crops and livestock products","Albania","Production","Other stone fruits","2022","t","0"
"Crops and livestock products","Albania","Production","Other vegetables, fresh n.e.c.","2022","t","38802.5"
"Crops and livestock products","Albania","Production","Peaches and nectarines","2022","t","22472"
"Crops and livestock products","Albania","Production","Pears","2022","t","14975"
"Crops and livestock products","Albania","Production","Peas, green","2022","t","8782"
"Crops and livestock products","Albania","Production","Plums and sloes","2022","t","45141"
"Crops and livestock products","Albania","Production","Potatoes","2022","t","262673"
"Crops and livestock products","Albania","Production","Pumpkins, squash and gourds","2022","t","30002.2"
"Crops and livestock products","Albania","Production","Quinces","2022","t","5330"
"Crops and livestock products","Albania","Production","Raw hides and skins of cattle","2022","t","6171.69"
"Crops and livestock products","Albania","Production","Raw hides and skins of goats or kids","2022","t","1840.5"
"Crops and livestock products","Albania","Production","Raw hides and skins of sheep or lambs","2022","t","4991.42"
"Crops and livestock products","Albania","Production","Raw milk of cattle","2022","t","849690.26"
"Crops and livestock products","Albania","Production","Raw milk of goats","2022","t","78478.79"
"Crops and livestock products","Albania","Production","Raw milk of sheep","2022","t","71103.99"
"Crops and livestock products","Albania","Production","Rice","2022","t","0"
"Crops and livestock products","Albania","Production","Rye","2022","t","3115"
"Crops and livestock products","Albania","Production","Seed cotton, unginned","2022","t","767.14"
"Crops and livestock products","Albania","Production","Sheep fat, unrendered","2022","t","998.28"
"Crops and livestock products","Albania","Production","Shorn wool, greasy, including fleece-washed shorn wool","2022","t","2341"
"Crops and livestock products","Albania","Production","Sorghum","2022","t","0"
"Crops and livestock products","Albania","Production","Sour cherries","2022","t","17542.02"
"Crops and livestock products","Albania","Production","Soya beans","2022","t","686"
"Crops and livestock products","Albania","Production","Spinach","2022","t","29640"
"Crops and livestock products","Albania","Production","Strawberries","2022","t","6290"
"Crops and livestock products","Albania","Production","Sugar beet","2022","t","21253"
"Crops and livestock products","Albania","Production","Sunflower seed","2022","t","789"
"Crops and livestock products","Albania","Production","Tangerines, mandarins, clementines","2022","t","35161"
"Crops and livestock products","Albania","Production","Tomatoes","2022","t","315057.3"
"Crops and livestock products","Albania","Production","Unmanufactured tobacco","2022","t","1792"
"Crops and livestock products","Albania","Production","Vetches","2022","t","1881.36"
"Crops and livestock products","Albania","Production","Watermelons","2022","t","256798.2"
"Crops and livestock products","Albania","Production","Wheat","2022","t","233145"
"Crops and livestock products","Algeria","Production","Almonds, in shell","2022","t","62988.46"
"Crops and livestock products","Algeria","Production","Apples","2022","t","539852.35"
"Crops and livestock products","Algeria","Production","Apricots","2022","t","203916.41"
"Crops and livestock products","Algeria","Production","Artichokes","2022","t","124305.3"
"Crops and livestock products","Algeria","Production","Bananas","2022","t","236.75"
"Crops and livestock products","Algeria","Production","Barley","2022","t","1600000"
"Crops and livestock products","Algeria","Production","Beans, dry","2022","t","3290.82"
"Crops and livestock products","Algeria","Production","Broad beans and horse beans, dry","2022","t","44352.99"
"Crops and livestock products","Algeria","Production","Broad beans and horse beans, green","2022","t","287210.22"
"Crops and livestock products","Algeria","Production","Cabbages","2022","t","155164.37"
"Crops and livestock products","Algeria","Production","Carrots and turnips","2022","t","427954.95"
"Crops and livestock products","Algeria","Production","Cattle fat, unrendered","2022","t","2848.39"
"Crops and livestock products","Algeria","Production","Cauliflowers and broccoli","2022","t","251934.8"
"Crops and livestock products","Algeria","Production","Cherries","2022","t","11158.61"
"Crops and livestock products","Algeria","Production","Chick peas, dry","2022","t","37990.52"
"Crops and livestock products","Algeria","Production","Chillies and peppers, dry (Capsicum spp., Pimenta spp.), raw","2022","t","14875.81"
"Crops and livestock products","Algeria","Production","Chillies and peppers, green (Capsicum spp. and Pimenta spp.)","2022","t","486636.17"
"Crops and livestock products","Algeria","Production","Cucumbers and gherkins","2022","t","190924.98"
"Crops and livestock products","Algeria","Production","Dates","2022","t","1247403.75"
"Crops and livestock products","Algeria","Production","Edible offal of cattle, fresh, chilled or frozen","2022","t","22217.41"
"Crops and livestock products","Algeria","Production","Edible offal of goat, fresh, chilled or frozen","2022","t","3848.77"
"Crops and livestock products","Algeria","Production","Edible offal of pigs, fresh, chilled or frozen","2022","t","10.95"
"Crops and livestock products","Algeria","Production","Edible offal of sheep, fresh, chilled or frozen","2022","t","43645.12"
"Crops and livestock products","Algeria","Production","Edible offals of camels and other camelids, fresh, chilled or frozen","2022","t","1035.78"
"Crops and livestock products","Algeria","Production","Edible offals of horses and other equines,  fresh, chilled or frozen","2022","t","34.25"
"Crops and livestock products","Algeria","Production","Eggplants (aubergines)","2022","t","207548.83"
"Crops and livestock products","Algeria","Production","Fat of camels","2022","t","210.99"
"Crops and livestock products","Algeria","Production","Fat of pigs","2022","t","21.25"
"Crops and livestock products","Algeria","Production","Figs","2022","t","112266.9"
"Crops and livestock products","Algeria","Production","Goat fat, unrendered","2022","t","577.32"
"Crops and livestock products","Algeria","Production","Grapes","2022","t","627325.49"
"Crops and livestock products","Algeria","Production","Green garlic","2022","t","202059.51"
"Crops and livestock products","Algeria","Production","Groundnuts, excluding shelled","2022","t","18154.95"
"Crops and livestock products","Algeria","Production","Hen eggs in shell, fresh","2022","t","311930.12"
"Crops and livestock products","Algeria","Production","Hen eggs in shell, fresh","2022","1000 No","6238602"
"Crops and livestock products","Algeria","Production","Horse meat, fresh or chilled","2022","t","305.79"
"Crops and livestock products","Algeria","Production","Lemons and limes","2022","t","86014.54"
"Crops and livestock products","Algeria","Production","Lentils, dry","2022","t","5078.79"
"Crops and livestock products","Algeria","Production","Locust beans (carobs)","2022","t","3380.16"
"Crops and livestock products","Algeria","Production","Maize (corn)","2022","t","11371.32"
"Crops and livestock products","Algeria","Production","Meat of camels, fresh or chilled","2022","t","7097.02"
"Crops and livestock products","Algeria","Production","Meat of cattle with the bone, fresh or chilled","2022","t","148116.09"
"Crops and livestock products","Algeria","Production","Meat of chickens, fresh or chilled","2022","t","274862.81"
"Crops and livestock products","Algeria","Production","Meat of goat, fresh or chilled","2022","t","19243.84"
"Crops and livestock products","Algeria","Production","Meat of pig with the bone, fresh or chilled","2022","t","107.9"
"Crops and livestock products","Algeria","Production","Meat of rabbits and hares, fresh or chilled","2022","t","8353.41"
"Crops and livestock products","Algeria","Production","Meat of sheep, fresh or chilled","2022","t","344937.26"
"Crops and livestock products","Algeria","Production","Meat of turkeys, fresh or chilled","2022","t","520.93"
"Crops and livestock products","Algeria","Production","Mushrooms and truffles","2022","t","1584.35"
"Crops and livestock products","Algeria","Production","Natural honey","2022","t","5617.25"
"Crops and livestock products","Algeria","Production","Oats","2022","t","105000"
"Crops and livestock products","Algeria","Production","Olives","2022","t","822973.59"
"Crops and livestock products","Algeria","Production","Onions and shallots, dry (excluding dehydrated)","2022","t","1763117.95"
"Crops and livestock products","Algeria","Production","Onions and shallots, green","2022","t","352.15"
"Crops and livestock products","Algeria","Production","Oranges","2022","t","1209559.96"
"Crops and livestock products","Algeria","Production","Other beans, green","2022","t","91309.43"
"Crops and livestock products","Algeria","Production","Other citrus fruit, n.e.c.","2022","t","602.22"
"Crops and livestock products","Algeria","Production","Other fruits, n.e.c.","2022","t","121346.3"
"Crops and livestock products","Algeria","Production","Other pulses n.e.c.","2022","t","1020.25"
"Crops and livestock products","Algeria","Production","Other stone fruits","2022","t","29628.93"
"Crops and livestock products","Algeria","Production","Other tropical fruits, n.e.c.","2022","t","0"
"Crops and livestock products","Algeria","Production","Other vegetables, fresh n.e.c.","2022","t","1544193.24"
"Crops and livestock products","Algeria","Production","Peaches and nectarines","2022","t","191333.77"
"Crops and livestock products","Algeria","Production","Pears","2022","t","163949.16"
"Crops and livestock products","Algeria","Production","Peas, dry","2022","t","9499.32"
"Crops and livestock products","Algeria","Production","Peas, green","2022","t","203263.15"
"Crops and livestock products","Algeria","Production","Plums and sloes","2022","t","99048.09"
"Crops and livestock products","Algeria","Production","Pomelos and grapefruits","2022","t","1752.45"
"Crops and livestock products","Algeria","Production","Potatoes","2022","t","4299816.54"
"Crops and livestock products","Algeria","Production","Pumpkins, squash and gourds","2022","t","400490.25"
"Crops and livestock products","Algeria","Production","Quinces","2022","t","8021.23"
"Crops and livestock products","Algeria","Production","Rape or colza seed","2022","t","23155.48"
"Crops and livestock products","Algeria","Production","Raw hides and skins of cattle","2022","t","17944.83"
"Crops and livestock products","Algeria","Production","Raw hides and skins of goats or kids","2022","t","3848.77"
"Crops and livestock products","Algeria","Production","Raw hides and skins of sheep or lambs","2022","t","54204.43"
"Crops and livestock products","Algeria","Production","Raw milk of camel","2022","t","15518.05"
"Crops and livestock products","Algeria","Production","Raw milk of cattle","2022","t","2433986.67"
"Crops and livestock products","Algeria","Production","Raw milk of goats","2022","t","324463.67"
"Crops and livestock products","Algeria","Production","Raw milk of sheep","2022","t","547145.33"
"Crops and livestock products","Algeria","Production","Rice","2022","t","307.49"
"Crops and livestock products","Algeria","Production","Seed cotton, unginned","2022","t","83"
"Crops and livestock products","Algeria","Production","Sheep fat, unrendered","2022","t","8447.44"
"Crops and livestock products","Algeria","Production","Shorn wool, greasy, including fleece-washed shorn wool","2022","t","33949.72"
"Crops and livestock products","Algeria","Production","Sorghum","2022","t","965.04"
"Crops and livestock products","Algeria","Production","Strawberries","2022","t","0"
"Crops and livestock products","Algeria","Production","Sugar beet","2022","t","0"
"Crops and livestock products","Algeria","Production","Sunflower seed","2022","t","86.31"
"Crops and livestock products","Algeria","Production","Tangerines, mandarins, clementines","2022","t","295233.99"
"Crops and livestock products","Algeria","Production","Tomatoes","2022","t","1661664.37"
"Crops and livestock products","Algeria","Production","Triticale","2022","t","560.06"
"Crops and livestock products","Algeria","Production","Unmanufactured tobacco","2022","t","10256.19"
"Crops and livestock products","Algeria","Production","Vetches","2022","t","77.88"
"Crops and livestock products","Algeria","Production","Watermelons","2022","t","2022891.72"
"Crops and livestock products","Algeria","Production","Wheat","2022","t","3000000"
"Crops and livestock products","Angola","Production","Avocados","2022","t","55119"
"Crops and livestock products","Angola","Production","Bananas","2022","t","4589099"
"Crops and livestock products","Angola","Production","Beans, dry","2022","t","358209"
"Crops and livestock products","Angola","Production","Beeswax","2022","t","2317.98"
"Crops and livestock products","Angola","Production","Cabbages","2022","t","274232"
"Crops and livestock products","Angola","Production","Carrots and turnips","2022","t","154188"
"Crops and livestock products","Angola","Production","Cashew nuts, in shell","2022","t","2110.19"
"Crops and livestock products","Angola","Production","Cassava, fresh","2022","t","10547506"
"Crops and livestock products","Angola","Production","Castor oil seeds","2022","t","4194.58"
"Crops and livestock products","Angola","Production","Cattle fat, unrendered","2022","t","3667.23"
"Crops and livestock products","Angola","Production","Cocoa beans","2022","t","450.17"
"Crops and livestock products","Angola","Production","Coffee, green","2022","t","16767"
"Crops and livestock products","Angola","Production","Edible offal of cattle, fresh, chilled or frozen","2022","t","17257.54"
"Crops and livestock products","Angola","Production","Edible offal of goat, fresh, chilled or frozen","2022","t","2452.29"
"Crops and livestock products","Angola","Production","Edible offal of pigs, fresh, chilled or frozen","2022","t","6556.34"
"Crops and livestock products","Angola","Production","Edible offal of sheep, fresh, chilled or frozen","2022","t","642.13"
"Crops and livestock products","Angola","Production","Fat of pigs","2022","t","7825.31"
"Crops and livestock products","Angola","Production","Game meat, fresh, chilled or frozen","2022","t","9528.78"
"Crops and livestock products","Angola","Production","Goat fat, unrendered","2022","t","401.28"
"Crops and livestock products","Angola","Production","Green garlic","2022","t","13075"
"Crops and livestock products","Angola","Production","Groundnuts, excluding shelled","2022","t","226172"
"Crops and livestock products","Angola","Production","Hen eggs in shell, fresh","2022","t","142758.68"
"Crops and livestock products","Angola","Production","Hen eggs in shell, fresh","2022","1000 No","2693560"
"Crops and livestock products","Angola","Production","Kenaf, and other textile bast fibres, raw or retted","2022","t","824.85"
"Crops and livestock products","Angola","Production","Maize (corn)","2022","t","3089902"
"Crops and livestock products","Angola","Production","Mangoes, guavas and mangosteens","2022","t","266890"
"Crops and livestock products","Angola","Production","Meat of cattle with the bone, fresh or chilled","2022","t","107859.65"
"Crops and livestock products","Angola","Production","Meat of chickens, fresh or chilled","2022","t","58532.79"
"Crops and livestock products","Angola","Production","Meat of goat, fresh or chilled","2022","t","20064.2"
"Crops and livestock products","Angola","Production","Meat of pig with the bone, fresh or chilled","2022","t","169195.83"
"Crops and livestock products","Angola","Production","Meat of sheep, fresh or chilled","2022","t","4737.03"
"Crops and livestock products","Angola","Production","Millet","2022","t","35000"
"Crops and livestock products","Angola","Production","Natural honey","2022","t","23457.39"
"Crops and livestock products","Angola","Production","Oil palm fruit","2022","t","281164.65"
"Crops and livestock products","Angola","Production","Onions and shallots, green","2022","t","558480"
"Crops and livestock products","Angola","Production","Other citrus fruit, n.e.c.","2022","t","458147"
"Crops and livestock products","Angola","Production","Other fruits, n.e.c.","2022","t","40101.44"
"Crops and livestock products","Angola","Production","Other vegetables, fresh n.e.c.","2022","t","368081.72"
"Crops and livestock products","Angola","Production","Pineapples","2022","t","710530"
"Crops and livestock products","Angola","Production","Potatoes","2022","t","502204"
"Crops and livestock products","Angola","Production","Raw hides and skins of cattle","2022","t","15747.51"
"Crops and livestock products","Angola","Production","Raw hides and skins of goats or kids","2022","t","1337.61"
"Crops and livestock products","Angola","Production","Raw hides and skins of sheep or lambs","2022","t","642.13"
"Crops and livestock products","Angola","Production","Raw milk of cattle","2022","t","223902.03"
"Crops and livestock products","Angola","Production","Rice","2022","t","10563"
"Crops and livestock products","Angola","Production","Seed cotton, unginned","2022","t","3400"
"Crops and livestock products","Angola","Production","Sesame seed","2022","t","3237.64"
"Crops and livestock products","Angola","Production","Sheep fat, unrendered","2022","t","126.32"
"Crops and livestock products","Angola","Production","Sisal, raw","2022","t","554.95"
"Crops and livestock products","Angola","Production","Sorghum","2022","t","35551"
"Crops and livestock products","Angola","Production","Soya beans","2022","t","37374"
"Crops and livestock products","Angola","Production","Sugar cane","2022","t","1125388.66"
"Crops and livestock products","Angola","Production","Sunflower seed","2022","t","12242.86"
"Crops and livestock products","Angola","Production","Sweet potatoes","2022","t","1873002"
"Crops and livestock products","Angola","Production","Tomatoes","2022","t","587785"
"Crops and livestock products","Angola","Production","Unmanufactured tobacco","2022","t","2841.09"
"Crops and livestock products","Angola","Production","Wheat","2022","t","2943.08"
"Crops and livestock products","Antigua and Barbuda","Production","Bananas","2022","t","7.04"
"Crops and livestock products","Antigua and Barbuda","Production","Cabbages","2022","t","13.18"
"Crops and livestock products","Antigua and Barbuda","Production","Cantaloupes and other melons","2022","t","35.37"
"Crops and livestock products","Antigua and Barbuda","Production","Carrots and turnips","2022","t","6.08"
"Crops and livestock products","Antigua and Barbuda","Production","Cassava, fresh","2022","t","144.21"
"Crops and livestock products","Antigua and Barbuda","Production","Cattle fat, unrendered","2022","t","1.54"
"Crops and livestock products","Antigua and Barbuda","Production","Chillies and peppers, green (Capsicum spp. and Pimenta spp.)","2022","t","81.66"
"Crops and livestock products","Antigua and Barbuda","Production","Cucumbers and gherkins","2022","t","61.45"
"Crops and livestock products","Antigua and Barbuda","Production","Edible offal of cattle, fresh, chilled or frozen","2022","t","7.42"
"Crops and livestock products","Antigua and Barbuda","Production","Edible offal of goat, fresh, chilled or frozen","2022","t","0.76"
"Crops and livestock products","Antigua and Barbuda","Production","Edible offal of pigs, fresh, chilled or frozen","2022","t","2.1"
"Crops and livestock products","Antigua and Barbuda","Production","Edible offal of sheep, fresh, chilled or frozen","2022","t","1.03"
"Crops and livestock products","Antigua and Barbuda","Production","Eggplants (aubergines)","2022","t","34.58"
"Crops and livestock products","Antigua and Barbuda","Production","Fat of pigs","2022","t","4.21"
"Crops and livestock products","Antigua and Barbuda","Production","Goat fat, unrendered","2022","t","0.11"
"Crops and livestock products","Antigua and Barbuda","Production","Hen eggs in shell, fresh","2022","t","1137.07"
"Crops and livestock products","Antigua and Barbuda","Production","Hen eggs in shell, fresh","2022","1000 No","22741"
"Crops and livestock products","Antigua and Barbuda","Production","Lemons and limes","2022","t","437.17"
"Crops and livestock products","Antigua and Barbuda","Production","Lettuce and chicory","2022","t","28.77"
"Crops and livestock products","Antigua and Barbuda","Production","Maize (corn)","2022","t","15.74"
"Crops and livestock products","Antigua and Barbuda","Production","Mangoes, guavas and mangosteens","2022","t","1409.67"
"Crops and livestock products","Antigua and Barbuda","Production","Meat of cattle with the bone, fresh or chilled","2022","t","62.68"
"Crops and livestock products","Antigua and Barbuda","Production","Meat of chickens, fresh or chilled","2022","t","88.31"
"Crops and livestock products","Antigua and Barbuda","Production","Meat of goat, fresh or chilled","2022","t","2.63"
"Crops and livestock products","Antigua and Barbuda","Production","Meat of pig with the bone, fresh or chilled","2022","t","54.57"
"Crops and livestock products","Antigua and Barbuda","Production","Meat of sheep, fresh or chilled","2022","t","3.63"
"Crops and livestock products","Antigua and Barbuda","Production","Okra","2022","t","10.61"
"Crops and livestock products","Antigua and Barbuda","Production","Onions and shallots, dry (excluding dehydrated)","2022","t","8.07"
"Crops and livestock products","Antigua and Barbuda","Production","Other beans, green","2022","t","104.98"
"Crops and livestock products","Antigua and Barbuda","Production","Other tropical fruits, n.e.c.","2022","t","6362.4"
"Crops and livestock products","Antigua and Barbuda","Production","Other vegetables, fresh n.e.c.","2022","t","193.14"
"Crops and livestock products","Antigua and Barbuda","Production","Pineapples","2022","t","1.34"
"Crops and livestock products","Antigua and Barbuda","Production","Pumpkins, squash and gourds","2022","t","286.95"
"Crops and livestock products","Antigua and Barbuda","Production","Raw hides and skins of cattle","2022","t","7.42"
"Crops and livestock products","Antigua and Barbuda","Production","Raw hides and skins of goats or kids","2022","t","0.64"
"Crops and livestock products","Antigua and Barbuda","Production","Raw hides and skins of sheep or lambs","2022","t","0.87"
"Crops and livestock products","Antigua and Barbuda","Production","Raw milk of cattle","2022","t","1970.14"
"Crops and livestock products","Antigua and Barbuda","Production","Seed cotton, unginned","2022","t","106.33"
"Crops and livestock products","Antigua and Barbuda","Production","Sheep fat, unrendered","2022","t","0.15"
"Crops and livestock products","Antigua and Barbuda","Production","Spinach","2022","t","8.29"
